id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2011-01-07;53.74000000;52.68000000;54.32000000;55.75000000
NE;NORDESTE;2011-01-07;53.74000000;52.68000000;54.32000000;55.75000000
S;SUL;2011-01-07;53.74000000;52.68000000;54.32000000;55.75000000
SE;SUDESTE;2011-01-07;53.74000000;52.68000000;54.32000000;55.75000000
N;NORTE;2011-01-14;16.90000000;16.72000000;16.92000000;17.43000000
NE;NORDESTE;2011-01-14;16.90000000;16.72000000;16.92000000;17.43000000
S;SUL;2011-01-14;17.27000000;16.78000000;17.55000000;17.55000000
SE;SUDESTE;2011-01-14;17.27000000;16.78000000;17.55000000;17.55000000
N;NORTE;2011-01-21;23.33000000;23.08000000;23.35000000;24.06000000
NE;NORDESTE;2011-01-21;23.33000000;23.08000000;23.35000000;24.06000000
S;SUL;2011-01-21;25.42000000;24.60000000;25.89000000;25.89000000
SE;SUDESTE;2011-01-21;25.42000000;24.60000000;25.89000000;25.89000000
N;NORTE;2011-01-28;21.12000000;20.57000000;21.43000000;21.49000000
NE;NORDESTE;2011-01-28;21.31000000;21.08000000;21.43000000;21.49000000
S;SUL;2011-01-28;21.12000000;20.57000000;21.43000000;21.49000000
SE;SUDESTE;2011-01-28;21.12000000;20.57000000;21.43000000;21.49000000
N;NORTE;2011-02-04;12.14000000;0.94000000;18.53000000;18.53000000
NE;NORDESTE;2011-02-04;20.41000000;20.41000000;20.41000000;20.41000000
S;SUL;2011-02-04;11.85000000;0.13000000;18.53000000;18.53000000
SE;SUDESTE;2011-02-04;11.85000000;0.13000000;18.53000000;18.53000000
N;NORTE;2011-02-11;36.14000000;35.19000000;36.68000000;36.68000000
NE;NORDESTE;2011-02-11;36.14000000;35.19000000;36.68000000;36.68000000
S;SUL;2011-02-11;36.20000000;35.19000000;36.78000000;36.78000000
SE;SUDESTE;2011-02-11;36.20000000;35.19000000;36.78000000;36.78000000
N;NORTE;2011-02-18;47.11000000;45.97000000;47.73000000;47.92000000
NE;NORDESTE;2011-02-18;47.11000000;45.97000000;47.73000000;47.92000000
S;SUL;2011-02-18;31.13000000;0E-8;48.88000000;48.88000000
SE;SUDESTE;2011-02-18;47.82000000;45.97000000;48.88000000;48.88000000
N;NORTE;2011-02-25;54.22000000;53.14000000;54.73000000;55.37000000
NE;NORDESTE;2011-02-25;54.22000000;53.14000000;54.73000000;55.37000000
S;SUL;2011-02-25;38.01000000;0E-8;59.08000000;61.51000000
SE;SUDESTE;2011-02-25;57.19000000;53.14000000;59.08000000;61.51000000
N;NORTE;2011-03-04;79.69000000;77.25000000;80.89000000;82.07000000
NE;NORDESTE;2011-03-04;81.02000000;80.89000000;80.89000000;82.07000000
S;SUL;2011-03-04;77.54000000;71.30000000;80.89000000;82.07000000
SE;SUDESTE;2011-03-04;79.69000000;77.25000000;80.89000000;82.07000000
N;NORTE;2011-03-11;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2011-03-11;0E-8;0E-8;0E-8;0E-8
S;SUL;2011-03-11;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2011-03-11;0E-8;0E-8;0E-8;0E-8
N;NORTE;2011-03-18;33.40000000;28.47000000;35.87000000;37.93000000
NE;NORDESTE;2011-03-18;37.93000000;37.93000000;37.93000000;37.93000000
S;SUL;2011-03-18;33.40000000;28.47000000;35.87000000;37.93000000
SE;SUDESTE;2011-03-18;33.40000000;28.47000000;35.87000000;37.93000000
N;NORTE;2011-03-25;10.71000000;7.74000000;12.34000000;12.75000000
NE;NORDESTE;2011-03-25;12.38000000;12.34000000;12.34000000;12.75000000
S;SUL;2011-03-25;10.71000000;7.74000000;12.34000000;12.75000000
SE;SUDESTE;2011-03-25;10.71000000;7.74000000;12.34000000;12.75000000
N;NORTE;2011-04-01;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2011-04-01;0E-8;0E-8;0E-8;0E-8
S;SUL;2011-04-01;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2011-04-01;0E-8;0E-8;0E-8;0E-8
N;NORTE;2011-04-08;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2011-04-08;0E-8;0E-8;0E-8;0E-8
S;SUL;2011-04-08;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2011-04-08;0E-8;0E-8;0E-8;0E-8
N;NORTE;2011-04-15;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2011-04-15;0E-8;0E-8;0E-8;0E-8
S;SUL;2011-04-15;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2011-04-15;0E-8;0E-8;0E-8;0E-8
N;NORTE;2011-04-22;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2011-04-22;0E-8;0E-8;0E-8;0E-8
S;SUL;2011-04-22;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2011-04-22;0E-8;0E-8;0E-8;0E-8
N;NORTE;2011-04-29;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2011-04-29;0E-8;0E-8;0E-8;0E-8
S;SUL;2011-04-29;7.01000000;6.76000000;7.11000000;7.32000000
SE;SUDESTE;2011-04-29;7.01000000;6.76000000;7.11000000;7.32000000
N;NORTE;2011-05-06;14.69000000;14.44000000;14.80000000;15.00000000
NE;NORDESTE;2011-05-06;14.75000000;14.60000000;14.80000000;15.00000000
S;SUL;2011-05-06;14.69000000;14.44000000;14.80000000;15.00000000
SE;SUDESTE;2011-05-06;14.69000000;14.44000000;14.80000000;15.00000000
N;NORTE;2011-05-13;13.09000000;13.02000000;13.12000000;13.19000000
NE;NORDESTE;2011-05-13;13.09000000;13.02000000;13.12000000;13.19000000
S;SUL;2011-05-13;13.30000000;13.02000000;13.38000000;13.84000000
SE;SUDESTE;2011-05-13;13.30000000;13.02000000;13.38000000;13.84000000
N;NORTE;2011-05-20;14.57000000;14.15000000;14.77000000;15.01000000
NE;NORDESTE;2011-05-20;14.66000000;14.41000000;14.77000000;15.01000000
S;SUL;2011-05-20;14.57000000;14.15000000;14.77000000;15.01000000
SE;SUDESTE;2011-05-20;14.57000000;14.15000000;14.77000000;15.01000000
N;NORTE;2011-05-27;15.88000000;15.69000000;15.93000000;16.30000000
NE;NORDESTE;2011-05-27;15.88000000;15.69000000;15.93000000;16.30000000
S;SUL;2011-05-27;15.88000000;15.69000000;15.93000000;16.30000000
SE;SUDESTE;2011-05-27;15.88000000;15.69000000;15.93000000;16.30000000
N;NORTE;2011-06-03;27.48000000;26.99000000;27.69000000;28.14000000
NE;NORDESTE;2011-06-03;27.48000000;26.99000000;27.69000000;28.14000000
S;SUL;2011-06-03;27.74000000;27.69000000;27.69000000;28.14000000
SE;SUDESTE;2011-06-03;27.74000000;27.69000000;27.69000000;28.14000000
N;NORTE;2011-06-10;30.19000000;30.05000000;30.18000000;30.68000000
NE;NORDESTE;2011-06-10;30.19000000;30.05000000;30.18000000;30.68000000
S;SUL;2011-06-10;30.19000000;30.05000000;30.18000000;30.68000000
SE;SUDESTE;2011-06-10;30.19000000;30.05000000;30.18000000;30.68000000
N;NORTE;2011-06-17;32.12000000;31.74000000;32.22000000;32.88000000
NE;NORDESTE;2011-06-17;32.12000000;31.74000000;32.22000000;32.88000000
S;SUL;2011-06-17;32.12000000;31.74000000;32.22000000;32.88000000
SE;SUDESTE;2011-06-17;32.12000000;31.74000000;32.22000000;32.88000000
N;NORTE;2011-06-24;27.55000000;27.17000000;27.74000000;28.41000000
NE;NORDESTE;2011-06-24;27.55000000;27.17000000;27.74000000;28.41000000
S;SUL;2011-06-24;27.55000000;27.17000000;27.74000000;28.41000000
SE;SUDESTE;2011-06-24;27.55000000;27.17000000;27.74000000;28.41000000
N;NORTE;2011-07-01;28.22000000;27.53000000;28.55000000;28.91000000
NE;NORDESTE;2011-07-01;28.22000000;27.53000000;28.55000000;28.91000000
S;SUL;2011-07-01;28.22000000;27.53000000;28.55000000;28.91000000
SE;SUDESTE;2011-07-01;28.22000000;27.53000000;28.55000000;28.91000000
N;NORTE;2011-07-08;27.08000000;26.80000000;27.19000000;27.53000000
NE;NORDESTE;2011-07-08;27.08000000;26.80000000;27.19000000;27.53000000
S;SUL;2011-07-08;27.08000000;26.80000000;27.19000000;27.53000000
SE;SUDESTE;2011-07-08;27.08000000;26.80000000;27.19000000;27.53000000
N;NORTE;2011-07-15;22.66000000;22.47000000;22.65000000;23.32000000
NE;NORDESTE;2011-07-15;22.66000000;22.47000000;22.65000000;23.32000000
S;SUL;2011-07-15;22.66000000;22.47000000;22.65000000;23.32000000
SE;SUDESTE;2011-07-15;22.66000000;22.47000000;22.65000000;23.32000000
N;NORTE;2011-07-22;20.72000000;20.54000000;20.70000000;21.42000000
NE;NORDESTE;2011-07-22;20.72000000;20.54000000;20.70000000;21.42000000
S;SUL;2011-07-22;20.72000000;20.54000000;20.70000000;21.42000000
SE;SUDESTE;2011-07-22;20.72000000;20.54000000;20.70000000;21.42000000
N;NORTE;2011-07-29;19.41000000;19.00000000;19.54000000;20.10000000
NE;NORDESTE;2011-07-29;19.41000000;19.00000000;19.54000000;20.10000000
S;SUL;2011-07-29;19.33000000;18.80000000;19.54000000;20.10000000
SE;SUDESTE;2011-07-29;19.33000000;18.81000000;19.54000000;20.10000000
N;NORTE;2011-08-05;22.39000000;21.84000000;22.63000000;23.10000000
NE;NORDESTE;2011-08-05;22.39000000;21.84000000;22.63000000;23.10000000
S;SUL;2011-08-05;13.72000000;0E-8;21.22000000;23.10000000
SE;SUDESTE;2011-08-05;22.39000000;21.84000000;22.63000000;23.10000000
N;NORTE;2011-08-12;15.50000000;14.98000000;15.70000000;16.26000000
NE;NORDESTE;2011-08-12;15.50000000;14.98000000;15.70000000;16.26000000
S;SUL;2011-08-12;10.06000000;0E-8;15.70000000;16.26000000
SE;SUDESTE;2011-08-12;15.50000000;14.98000000;15.70000000;16.26000000
N;NORTE;2011-08-19;17.05000000;16.55000000;17.25000000;17.73000000
NE;NORDESTE;2011-08-19;17.05000000;16.55000000;17.25000000;17.73000000
S;SUL;2011-08-19;11.04000000;0E-8;17.25000000;17.73000000
SE;SUDESTE;2011-08-19;17.05000000;16.55000000;17.25000000;17.73000000
N;NORTE;2011-08-26;23.06000000;22.38000000;23.32000000;24.09000000
NE;NORDESTE;2011-08-26;23.06000000;22.38000000;23.32000000;24.09000000
S;SUL;2011-08-26;14.43000000;0E-8;22.38000000;24.09000000
SE;SUDESTE;2011-08-26;23.06000000;22.38000000;23.32000000;24.09000000
N;NORTE;2011-09-02;15.79000000;15.14000000;16.02000000;16.81000000
NE;NORDESTE;2011-09-02;15.79000000;15.14000000;16.02000000;16.81000000
S;SUL;2011-09-02;1.80000000;0E-8;0E-8;16.81000000
SE;SUDESTE;2011-09-02;15.76000000;15.07000000;16.02000000;16.81000000
N;NORTE;2011-09-09;16.55000000;16.09000000;16.82000000;17.42000000
NE;NORDESTE;2011-09-09;16.55000000;16.09000000;16.82000000;17.42000000
S;SUL;2011-09-09;1.56000000;0E-8;0.01000000;17.42000000
SE;SUDESTE;2011-09-09;16.55000000;16.09000000;16.82000000;17.42000000
N;NORTE;2011-09-16;20.38000000;19.81000000;20.65000000;20.98000000
NE;NORDESTE;2011-09-16;20.38000000;19.81000000;20.65000000;20.98000000
S;SUL;2011-09-16;12.74000000;0E-8;19.81000000;20.98000000
SE;SUDESTE;2011-09-16;20.38000000;19.81000000;20.65000000;20.98000000
N;NORTE;2011-09-23;23.15000000;22.43000000;23.38000000;24.47000000
NE;NORDESTE;2011-09-23;23.15000000;22.43000000;23.38000000;24.47000000
S;SUL;2011-09-23;17.01000000;5.52000000;23.38000000;24.47000000
SE;SUDESTE;2011-09-23;23.15000000;22.43000000;23.38000000;24.47000000
N;NORTE;2011-09-30;23.91000000;22.98000000;24.31000000;25.08000000
NE;NORDESTE;2011-09-30;23.91000000;22.98000000;24.31000000;25.08000000
S;SUL;2011-09-30;16.14000000;1.58000000;24.31000000;25.08000000
SE;SUDESTE;2011-09-30;23.91000000;22.97000000;24.31000000;25.08000000
N;NORTE;2011-10-07;40.46000000;39.36000000;41.01000000;41.46000000
NE;NORDESTE;2011-10-07;40.46000000;39.36000000;41.01000000;41.46000000
S;SUL;2011-10-07;40.31000000;38.95000000;41.01000000;41.46000000
SE;SUDESTE;2011-10-07;40.46000000;39.36000000;41.01000000;41.46000000
