id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2005-01-07;0.94000000;0.94000000;0.94000000;0.94000000
NE;NORDESTE;2005-01-07;0.94000000;0.94000000;0.94000000;0.94000000
S;SUL;2005-01-07;4.50000000;4.39000000;4.59000000;4.59000000
SE;SUDESTE;2005-01-07;0E-8;0E-8;0E-8;0E-8
N;NORTE;2005-01-14;6.34000000;5.87000000;6.41000000;7.64000000
NE;NORDESTE;2005-01-14;7.64000000;7.64000000;7.64000000;7.64000000
S;SUL;2005-01-14;12.32000000;12.11000000;12.44000000;12.44000000
SE;SUDESTE;2005-01-14;6.34000000;5.87000000;6.41000000;7.64000000
N;NORTE;2005-01-21;0.82000000;0.83000000;0.79000000;0.93000000
NE;NORDESTE;2005-01-21;0.69000000;0.69000000;0.69000000;0.69000000
S;SUL;2005-01-21;7.47000000;7.41000000;7.51000000;7.44000000
SE;SUDESTE;2005-01-21;0.47000000;0E-8;0.69000000;0.93000000
N;NORTE;2005-01-28;0.71000000;0.71000000;0.71000000;0.71000000
NE;NORDESTE;2005-01-28;1.29000000;1.29000000;1.29000000;1.29000000
S;SUL;2005-01-28;6.97000000;6.92000000;6.99000000;6.99000000
SE;SUDESTE;2005-01-28;0E-8;0E-8;0E-8;0E-8
N;NORTE;2005-02-04;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2005-02-04;0E-8;0E-8;0E-8;0E-8
S;SUL;2005-02-04;3.05000000;3.03000000;3.07000000;3.06000000
SE;SUDESTE;2005-02-04;0E-8;0E-8;0E-8;0E-8
N;NORTE;2005-02-11;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2005-02-11;0E-8;0E-8;0E-8;0E-8
S;SUL;2005-02-11;3.70000000;3.68000000;3.72000000;3.72000000
SE;SUDESTE;2005-02-11;0E-8;0E-8;0E-8;0E-8
N;NORTE;2005-02-18;0E-8;0E-8;0E-8;0E-8
