id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2016-01-01;101.23000000;101.23000000;101.23000000;101.23000000
NE;NORDESTE;2016-01-01;376.25000000;343.56000000;399.73000000;410.08000000
S;SUL;2016-01-01;27.80000000;26.29000000;28.87000000;29.48000000
SE;SUDESTE;2016-01-01;27.80000000;26.29000000;28.87000000;29.48000000
N;NORTE;2016-01-08;98.02000000;96.98000000;98.62000000;98.62000000
NE;NORDESTE;2016-01-08;380.14000000;343.56000000;399.73000000;407.29000000
S;SUL;2016-01-08;20.64000000;18.93000000;21.62000000;21.62000000
SE;SUDESTE;2016-01-08;20.64000000;18.93000000;21.62000000;21.62000000
N;NORTE;2016-01-15;35.85000000;35.85000000;35.85000000;35.85000000
NE;NORDESTE;2016-01-15;477.49000000;314.63000000;568.53000000;579.27000000
S;SUL;2016-01-15;12.60000000;10.98000000;13.53000000;13.53000000
SE;SUDESTE;2016-01-15;12.60000000;10.98000000;13.53000000;13.53000000
N;NORTE;2016-01-22;12.78000000;12.78000000;12.78000000;12.78000000
NE;NORDESTE;2016-01-22;304.29000000;271.44000000;323.02000000;323.02000000
S;SUL;2016-01-22;9.66000000;4.50000000;12.60000000;12.60000000
SE;SUDESTE;2016-01-22;9.66000000;4.50000000;12.60000000;12.60000000
N;NORTE;2016-01-29;7.56000000;7.36000000;7.68000000;7.68000000
NE;NORDESTE;2016-01-29;304.29000000;271.44000000;323.02000000;323.02000000
S;SUL;2016-01-29;6.07000000;4.31000000;7.08000000;7.08000000
SE;SUDESTE;2016-01-29;6.07000000;4.31000000;7.08000000;7.08000000
N;NORTE;2016-02-05;2.62000000;2.50000000;2.69000000;2.69000000
NE;NORDESTE;2016-02-05;216.02000000;139.88000000;259.42000000;259.42000000
S;SUL;2016-02-05;2.62000000;2.50000000;2.69000000;2.69000000
SE;SUDESTE;2016-02-05;2.62000000;2.50000000;2.69000000;2.69000000
N;NORTE;2016-02-12;0.08000000;0.07000000;0.08000000;0.08000000
NE;NORDESTE;2016-02-12;111.23000000;111.23000000;111.23000000;111.23000000
S;SUL;2016-02-12;0.08000000;0.07000000;0.08000000;0.08000000
SE;SUDESTE;2016-02-12;0.08000000;0.07000000;0.08000000;0.08000000
N;NORTE;2016-02-19;1.19000000;1.12000000;1.23000000;1.23000000
NE;NORDESTE;2016-02-19;165.70000000;139.88000000;180.76000000;178.78000000
S;SUL;2016-02-19;1.19000000;1.12000000;1.23000000;1.23000000
SE;SUDESTE;2016-02-19;1.19000000;1.12000000;1.23000000;1.23000000
N;NORTE;2016-02-26;1.79000000;1.62000000;1.89000000;1.89000000
NE;NORDESTE;2016-02-26;243.95000000;243.95000000;243.95000000;243.95000000
S;SUL;2016-02-26;1.79000000;1.62000000;1.89000000;1.89000000
SE;SUDESTE;2016-02-26;1.79000000;1.62000000;1.89000000;1.89000000
N;NORTE;2016-03-04;21.69000000;18.60000000;23.45000000;23.45000000
NE;NORDESTE;2016-03-04;236.74000000;224.10000000;243.95000000;243.95000000
S;SUL;2016-03-04;21.69000000;18.60000000;23.45000000;23.45000000
SE;SUDESTE;2016-03-04;21.69000000;18.60000000;23.45000000;23.45000000
N;NORTE;2016-03-11;37.16000000;34.06000000;38.92000000;38.92000000
NE;NORDESTE;2016-03-11;250.40000000;243.95000000;254.08000000;254.08000000
S;SUL;2016-03-11;37.16000000;34.06000000;38.92000000;38.92000000
SE;SUDESTE;2016-03-11;37.16000000;34.06000000;38.92000000;38.92000000
N;NORTE;2016-03-18;19.64000000;17.51000000;20.81000000;21.12000000
NE;NORDESTE;2016-03-18;262.80000000;253.08000000;268.34000000;268.34000000
S;SUL;2016-03-18;19.64000000;17.51000000;20.81000000;21.12000000
SE;SUDESTE;2016-03-18;19.64000000;17.51000000;20.81000000;21.12000000
N;NORTE;2016-03-25;15.02000000;13.43000000;16.19000000;16.55000000
NE;NORDESTE;2016-03-25;250.88000000;230.37000000;266.09000000;269.52000000
S;SUL;2016-03-25;15.02000000;13.43000000;16.19000000;16.55000000
SE;SUDESTE;2016-03-25;15.02000000;13.43000000;16.19000000;16.55000000
