id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2020-01-03;287.31000000;284.15000000;291.06000000;291.90000000
NE;NORDESTE;2020-01-03;287.31000000;284.15000000;291.06000000;291.90000000
S;SUL;2020-01-03;287.31000000;284.15000000;291.06000000;291.90000000
SE;SUDESTE;2020-01-03;287.31000000;284.15000000;291.06000000;291.90000000
N;NORTE;2020-01-10;361.62000000;357.22000000;364.40000000;367.43000000
NE;NORDESTE;2020-01-10;361.62000000;357.22000000;364.40000000;367.43000000
S;SUL;2020-01-10;361.62000000;357.22000000;364.40000000;367.43000000
SE;SUDESTE;2020-01-10;361.62000000;357.22000000;364.40000000;367.43000000
N;NORTE;2020-01-17;263.04000000;258.53000000;265.58000000;269.37000000
NE;NORDESTE;2020-01-17;263.04000000;258.53000000;265.58000000;269.37000000
S;SUL;2020-01-17;263.04000000;258.53000000;265.58000000;269.37000000
SE;SUDESTE;2020-01-17;263.04000000;258.53000000;265.58000000;269.37000000
N;NORTE;2020-01-24;348.54000000;345.16000000;350.91000000;352.73000000
NE;NORDESTE;2020-01-24;348.54000000;345.16000000;350.91000000;352.73000000
S;SUL;2020-01-24;349.15000000;345.16000000;350.91000000;355.32000000
SE;SUDESTE;2020-01-24;349.15000000;345.16000000;350.91000000;355.32000000
N;NORTE;2020-01-31;318.05000000;313.20000000;321.80000000;323.68000000
NE;NORDESTE;2020-01-31;318.05000000;313.20000000;321.80000000;323.68000000
S;SUL;2020-01-31;318.05000000;313.20000000;321.80000000;323.68000000
SE;SUDESTE;2020-01-31;318.05000000;313.20000000;321.80000000;323.68000000
N;NORTE;2020-02-07;186.86000000;184.34000000;188.24000000;190.43000000
NE;NORDESTE;2020-02-07;186.86000000;184.34000000;188.24000000;190.43000000
S;SUL;2020-02-07;186.90000000;184.34000000;188.38000000;190.43000000
SE;SUDESTE;2020-02-07;186.86000000;184.34000000;188.24000000;190.43000000
N;NORTE;2020-02-14;145.30000000;143.50000000;146.46000000;147.66000000
NE;NORDESTE;2020-02-14;145.56000000;143.50000000;146.46000000;148.75000000
S;SUL;2020-02-14;155.54000000;143.50000000;165.86000000;168.37000000
SE;SUDESTE;2020-02-14;145.56000000;143.50000000;146.46000000;148.75000000
N;NORTE;2020-02-21;132.63000000;132.63000000;132.63000000;132.63000000
NE;NORDESTE;2020-02-21;141.62000000;137.72000000;145.15000000;145.57000000
S;SUL;2020-02-21;163.64000000;137.72000000;186.62000000;190.34000000
SE;SUDESTE;2020-02-21;141.62000000;137.72000000;145.15000000;145.57000000
N;NORTE;2020-02-28;16.63000000;16.58000000;16.69000000;16.69000000
NE;NORDESTE;2020-02-28;16.64000000;16.58000000;16.69000000;16.78000000
S;SUL;2020-02-28;180.61000000;137.76000000;234.31000000;239.00000000
SE;SUDESTE;2020-02-28;140.51000000;137.76000000;142.85000000;145.65000000
N;NORTE;2020-03-06;52.30000000;52.30000000;52.30000000;52.30000000
NE;NORDESTE;2020-03-06;53.84000000;52.30000000;55.01000000;55.65000000
S;SUL;2020-03-06;63.31000000;52.30000000;73.33000000;74.34000000
SE;SUDESTE;2020-03-06;53.84000000;52.30000000;55.01000000;55.65000000
N;NORTE;2020-03-13;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-03-13;87.62000000;84.83000000;90.06000000;90.53000000
S;SUL;2020-03-13;158.37000000;84.83000000;227.14000000;230.05000000
SE;SUDESTE;2020-03-13;87.91000000;84.83000000;90.06000000;91.76000000
N;NORTE;2020-03-20;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-03-20;98.79000000;95.64000000;101.73000000;101.85000000
S;SUL;2020-03-20;225.76000000;96.25000000;346.80000000;352.05000000
SE;SUDESTE;2020-03-20;99.08000000;96.25000000;101.73000000;101.85000000
N;NORTE;2020-03-27;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-03-27;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-03-27;202.69000000;97.76000000;299.50000000;306.48000000
SE;SUDESTE;2020-03-27;101.80000000;97.76000000;105.34000000;106.00000000
N;NORTE;2020-04-03;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-04-03;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-04-03;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2020-04-03;0E-8;0E-8;0E-8;0E-8
N;NORTE;2020-04-10;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-04-10;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-04-10;0.08000000;0E-8;0.17000000;0.18000000
SE;SUDESTE;2020-04-10;0.08000000;0E-8;0.17000000;0.18000000
N;NORTE;2020-04-17;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-04-17;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-04-17;0.05000000;0E-8;0.09000000;0.10000000
SE;SUDESTE;2020-04-17;0.05000000;0E-8;0.09000000;0.10000000
N;NORTE;2020-04-24;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-04-24;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-04-24;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2020-04-24;0E-8;0E-8;0E-8;0E-8
N;NORTE;2020-05-01;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-05-01;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-05-01;0E-8;0E-8;0E-8;0E-8
SE;SUDESTE;2020-05-01;0E-8;0E-8;0E-8;0E-8
N;NORTE;2020-05-08;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-05-08;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-05-08;25.82000000;0E-8;45.87000000;47.06000000
SE;SUDESTE;2020-05-08;25.82000000;0E-8;45.87000000;47.06000000
N;NORTE;2020-05-15;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-05-15;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-05-15;42.39000000;0E-8;75.34000000;77.26000000
SE;SUDESTE;2020-05-15;42.39000000;0E-8;75.34000000;77.26000000
N;NORTE;2020-05-22;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-05-22;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-05-22;80.13000000;72.97000000;84.72000000;86.55000000
SE;SUDESTE;2020-05-22;80.13000000;72.97000000;84.72000000;86.55000000
N;NORTE;2020-05-29;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-05-29;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-05-29;91.87000000;80.85000000;100.04000000;101.15000000
SE;SUDESTE;2020-05-29;91.87000000;80.85000000;100.04000000;101.15000000
N;NORTE;2020-06-05;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-06-05;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-06-05;102.42000000;92.12000000;110.27000000;110.98000000
SE;SUDESTE;2020-06-05;102.42000000;92.12000000;110.27000000;110.98000000
N;NORTE;2020-06-12;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2020-06-12;0E-8;0E-8;0E-8;0E-8
S;SUL;2020-06-12;112.53000000;108.25000000;116.73000000;117.57000000
SE;SUDESTE;2020-06-12;112.53000000;108.25000000;116.73000000;117.57000000
N;NORTE;2020-06-19;88.25000000;88.25000000;88.25000000;88.25000000
NE;NORDESTE;2020-06-19;88.25000000;88.25000000;88.25000000;88.25000000
S;SUL;2020-06-19;125.44000000;120.91000000;128.04000000;129.68000000
SE;SUDESTE;2020-06-19;125.44000000;120.91000000;128.04000000;129.68000000
N;NORTE;2020-06-26;91.98000000;91.87000000;92.07000000;92.07000000
NE;NORDESTE;2020-06-26;91.98000000;91.87000000;92.07000000;92.07000000
S;SUL;2020-06-26;116.40000000;112.62000000;118.39000000;120.02000000
SE;SUDESTE;2020-06-26;116.40000000;112.62000000;118.39000000;120.02000000
N;NORTE;2020-07-03;92.95000000;92.95000000;92.95000000;92.95000000
NE;NORDESTE;2020-07-03;88.62000000;87.70000000;87.89000000;90.18000000
S;SUL;2020-07-03;94.47000000;92.95000000;95.31000000;95.92000000
SE;SUDESTE;2020-07-03;94.47000000;92.95000000;95.31000000;95.92000000
N;NORTE;2020-07-10;81.88000000;81.20000000;82.32000000;82.48000000
NE;NORDESTE;2020-07-10;81.88000000;81.20000000;82.32000000;82.48000000
S;SUL;2020-07-10;81.88000000;81.20000000;82.32000000;82.48000000
SE;SUDESTE;2020-07-10;81.88000000;81.20000000;82.32000000;82.48000000
N;NORTE;2020-07-17;83.71000000;82.66000000;84.51000000;84.58000000
NE;NORDESTE;2020-07-17;80.60000000;80.28000000;80.28000000;81.17000000
S;SUL;2020-07-17;83.71000000;82.66000000;84.51000000;84.58000000
SE;SUDESTE;2020-07-17;83.71000000;82.66000000;84.51000000;84.58000000
N;NORTE;2020-07-24;88.05000000;87.01000000;88.76000000;88.96000000
NE;NORDESTE;2020-07-24;72.06000000;70.82000000;71.92000000;73.70000000
S;SUL;2020-07-24;88.05000000;87.01000000;88.76000000;88.96000000
SE;SUDESTE;2020-07-24;88.05000000;87.01000000;88.76000000;88.96000000
N;NORTE;2020-07-31;91.42000000;90.15000000;91.95000000;92.72000000
NE;NORDESTE;2020-07-31;73.92000000;73.76000000;73.76000000;74.20000000
S;SUL;2020-07-31;91.42000000;90.15000000;91.95000000;92.72000000
SE;SUDESTE;2020-07-31;91.42000000;90.15000000;91.95000000;92.72000000
N;NORTE;2020-08-07;88.94000000;88.94000000;88.94000000;88.94000000
NE;NORDESTE;2020-08-07;64.37000000;64.24000000;64.47000000;64.47000000
S;SUL;2020-08-07;90.75000000;88.94000000;91.19000000;92.76000000
SE;SUDESTE;2020-08-07;90.75000000;88.94000000;91.19000000;92.76000000
N;NORTE;2020-08-14;99.51000000;98.31000000;100.31000000;100.56000000
NE;NORDESTE;2020-08-14;67.85000000;67.43000000;67.43000000;68.60000000
S;SUL;2020-08-14;99.51000000;98.31000000;100.31000000;100.56000000
SE;SUDESTE;2020-08-14;99.51000000;98.31000000;100.31000000;100.56000000
N;NORTE;2020-08-21;90.21000000;88.98000000;90.98000000;91.33000000
NE;NORDESTE;2020-08-21;65.88000000;64.55000000;65.23000000;67.89000000
S;SUL;2020-08-21;90.21000000;88.98000000;90.98000000;91.33000000
SE;SUDESTE;2020-08-21;90.21000000;88.98000000;90.98000000;91.33000000
N;NORTE;2020-08-28;54.81000000;52.96000000;55.99000000;56.48000000
NE;NORDESTE;2020-08-28;50.86000000;49.84000000;50.34000000;52.42000000
S;SUL;2020-08-28;54.81000000;52.96000000;55.99000000;56.48000000
SE;SUDESTE;2020-08-28;54.81000000;52.96000000;55.99000000;56.48000000
N;NORTE;2020-09-04;63.45000000;62.17000000;64.31000000;64.79000000
NE;NORDESTE;2020-09-04;52.07000000;50.37000000;52.75000000;54.17000000
S;SUL;2020-09-04;63.45000000;62.17000000;64.31000000;64.79000000
SE;SUDESTE;2020-09-04;63.45000000;62.17000000;64.31000000;64.79000000
N;NORTE;2020-09-11;70.47000000;69.39000000;71.10000000;72.40000000
NE;NORDESTE;2020-09-11;53.90000000;53.29000000;53.82000000;55.39000000
S;SUL;2020-09-11;70.47000000;69.39000000;71.10000000;72.40000000
SE;SUDESTE;2020-09-11;70.47000000;69.39000000;71.10000000;72.40000000
N;NORTE;2020-09-18;83.66000000;82.23000000;84.08000000;85.64000000
NE;NORDESTE;2020-09-18;61.54000000;59.57000000;62.38000000;64.06000000
S;SUL;2020-09-18;83.66000000;82.23000000;84.08000000;85.64000000
SE;SUDESTE;2020-09-18;83.66000000;82.23000000;84.08000000;85.64000000
N;NORTE;2020-09-25;98.30000000;96.39000000;99.26000000;100.62000000
NE;NORDESTE;2020-09-25;67.41000000;65.28000000;68.22000000;70.21000000
S;SUL;2020-09-25;98.30000000;96.39000000;99.26000000;100.62000000
SE;SUDESTE;2020-09-25;98.30000000;96.39000000;99.26000000;100.62000000
N;NORTE;2020-10-02;168.74000000;165.05000000;171.01000000;172.93000000
NE;NORDESTE;2020-10-02;159.18000000;158.02000000;159.43000000;160.86000000
