id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2006-01-06;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2006-01-06;0E-8;0E-8;0E-8;0E-8
S;SUL;2006-01-06;8.07000000;0E-8;12.68000000;12.68000000
SE;SUDESTE;2006-01-06;0E-8;0E-8;0E-8;0E-8
N;NORTE;2006-01-13;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2006-01-13;0E-8;0E-8;0E-8;0E-8
S;SUL;2006-01-13;8.54000000;0E-8;13.41000000;13.41000000
SE;SUDESTE;2006-01-13;0E-8;0E-8;0E-8;0E-8
N;NORTE;2006-01-20;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2006-01-20;0E-8;0E-8;0E-8;0E-8
S;SUL;2006-01-20;9.35000000;0E-8;14.69000000;14.69000000
SE;SUDESTE;2006-01-20;0E-8;0E-8;0E-8;0E-8
N;NORTE;2006-01-27;5.69000000;5.69000000;5.69000000;5.69000000
NE;NORDESTE;2006-01-27;5.69000000;5.69000000;5.69000000;5.69000000
S;SUL;2006-01-27;37.68000000;37.43000000;37.82000000;37.82000000
SE;SUDESTE;2006-01-27;36.73000000;35.33000000;37.48000000;37.82000000
N;NORTE;2006-02-03;32.02000000;32.02000000;32.02000000;32.02000000
NE;NORDESTE;2006-02-03;32.02000000;32.02000000;32.02000000;32.02000000
S;SUL;2006-02-03;61.96000000;61.12000000;62.44000000;62.44000000
SE;SUDESTE;2006-02-03;57.86000000;55.99000000;58.72000000;59.91000000
N;NORTE;2006-02-10;4.46000000;4.44000000;4.44000000;4.64000000
NE;NORDESTE;2006-02-10;35.25000000;35.25000000;35.25000000;35.25000000
S;SUL;2006-02-10;58.18000000;56.64000000;59.06000000;59.06000000
SE;SUDESTE;2006-02-10;48.77000000;46.56000000;49.86000000;50.83000000
N;NORTE;2006-02-17;42.63000000;42.63000000;42.63000000;42.63000000
NE;NORDESTE;2006-02-17;42.63000000;42.63000000;42.63000000;42.63000000
S;SUL;2006-02-17;81.07000000;78.84000000;82.34000000;82.34000000
SE;SUDESTE;2006-02-17;81.07000000;78.84000000;82.34000000;82.34000000
N;NORTE;2006-02-24;27.07000000;24.18000000;28.70000000;28.70000000
NE;NORDESTE;2006-02-24;28.64000000;28.52000000;28.71000000;28.71000000
S;SUL;2006-02-24;51.91000000;50.50000000;52.71000000;52.71000000
SE;SUDESTE;2006-02-24;27.76000000;24.18000000;28.71000000;35.19000000
N;NORTE;2006-03-03;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2006-03-03;39.11000000;39.11000000;39.11000000;39.11000000
S;SUL;2006-03-03;44.80000000;44.36000000;45.10000000;45.35000000
SE;SUDESTE;2006-03-03;34.80000000;30.46000000;38.06000000;38.62000000
N;NORTE;2006-03-10;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2006-03-10;39.39000000;39.22000000;39.48000000;39.48000000
S;SUL;2006-03-10;45.91000000;45.12000000;46.35000000;46.38000000
SE;SUDESTE;2006-03-10;40.85000000;38.48000000;41.95000000;43.41000000
N;NORTE;2006-03-17;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2006-03-17;38.94000000;38.94000000;38.94000000;38.94000000
S;SUL;2006-03-17;46.39000000;45.05000000;47.13000000;47.23000000
SE;SUDESTE;2006-03-17;0E-8;0E-8;0E-8;0E-8
N;NORTE;2006-03-24;0E-8;0E-8;0E-8;0E-8
NE;NORDESTE;2006-03-24;32.32000000;32.32000000;32.32000000;32.32000000
S;SUL;2006-03-24;42.59000000;41.67000000;43.10000000;43.21000000
SE;SUDESTE;2006-03-24;0E-8;0E-8;0E-8;0E-8
N;NORTE;2006-03-31;3.30000000;0E-8;0E-8;30.77000000
NE;NORDESTE;2006-03-31;30.77000000;30.77000000;30.77000000;30.77000000
S;SUL;2006-03-31;41.02000000;40.05000000;41.49000000;42.00000000
