id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2014-01-03;247.01000000;247.01000000;247.01000000;247.01000000
NE;NORDESTE;2014-01-03;247.01000000;247.01000000;247.01000000;247.01000000
S;SUL;2014-01-03;247.01000000;247.01000000;247.01000000;247.01000000
SE;SUDESTE;2014-01-03;247.01000000;247.01000000;247.01000000;247.01000000
N;NORTE;2014-01-10;222.81000000;116.49000000;283.42000000;283.42000000
NE;NORDESTE;2014-01-10;280.81000000;276.23000000;283.42000000;283.42000000
S;SUL;2014-01-10;280.81000000;276.23000000;283.42000000;283.42000000
SE;SUDESTE;2014-01-10;280.81000000;276.23000000;283.42000000;283.42000000
N;NORTE;2014-01-17;386.82000000;381.04000000;390.12000000;390.12000000
NE;NORDESTE;2014-01-17;386.82000000;381.04000000;390.12000000;390.12000000
S;SUL;2014-01-17;386.82000000;381.04000000;390.12000000;390.12000000
SE;SUDESTE;2014-01-17;386.82000000;381.04000000;390.12000000;390.12000000
N;NORTE;2014-01-24;407.54000000;404.19000000;409.45000000;409.45000000
NE;NORDESTE;2014-01-24;407.54000000;404.19000000;409.45000000;409.45000000
S;SUL;2014-01-24;407.54000000;404.19000000;409.45000000;409.45000000
SE;SUDESTE;2014-01-24;407.54000000;404.19000000;409.45000000;409.45000000
N;NORTE;2014-01-31;481.00000000;476.85000000;483.36000000;483.36000000
NE;NORDESTE;2014-01-31;481.00000000;476.85000000;483.36000000;483.36000000
S;SUL;2014-01-31;481.00000000;476.85000000;483.36000000;483.36000000
SE;SUDESTE;2014-01-31;481.00000000;476.85000000;483.36000000;483.36000000
N;NORTE;2014-02-07;836.47000000;821.05000000;844.26000000;850.18000000
NE;NORDESTE;2014-02-07;836.47000000;821.05000000;844.26000000;850.18000000
S;SUL;2014-02-07;1065.74000000;1065.74000000;1065.74000000;1065.74000000
SE;SUDESTE;2014-02-07;1065.74000000;1065.74000000;1065.74000000;1065.74000000
N;NORTE;2014-02-14;205.95000000;152.08000000;160.61000000;612.71000000
NE;NORDESTE;2014-02-14;736.59000000;725.82000000;742.73000000;742.73000000
S;SUL;2014-02-14;1691.39000000;1681.50000000;1697.04000000;1697.04000000
SE;SUDESTE;2014-02-14;1691.39000000;1681.50000000;1697.04000000;1697.04000000
N;NORTE;2014-02-21;574.31000000;506.33000000;612.71000000;612.71000000
NE;NORDESTE;2014-02-21;717.49000000;690.04000000;732.99000000;732.99000000
S;SUL;2014-02-21;1777.54000000;1765.78000000;1784.18000000;1784.18000000
SE;SUDESTE;2014-02-21;1777.54000000;1765.78000000;1784.18000000;1784.18000000
N;NORTE;2014-02-28;205.95000000;152.08000000;160.61000000;612.71000000
NE;NORDESTE;2014-02-28;788.26000000;690.04000000;844.26000000;844.26000000
S;SUL;2014-02-28;1685.28000000;1677.47000000;1689.73000000;1689.73000000
