id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2013-01-04;341.01000000;337.17000000;343.14000000;348.30000000
NE;NORDESTE;2013-01-04;341.01000000;337.17000000;343.14000000;348.30000000
S;SUL;2013-01-04;341.01000000;337.17000000;343.14000000;348.30000000
SE;SUDESTE;2013-01-04;341.01000000;337.17000000;343.14000000;348.30000000
N;NORTE;2013-01-11;551.77000000;546.20000000;554.95000000;554.95000000
NE;NORDESTE;2013-01-11;551.77000000;546.20000000;554.95000000;554.95000000
S;SUL;2013-01-11;554.95000000;554.95000000;554.95000000;554.95000000
SE;SUDESTE;2013-01-11;554.95000000;554.95000000;554.95000000;554.95000000
N;NORTE;2013-01-18;336.29000000;332.64000000;338.37000000;338.37000000
NE;NORDESTE;2013-01-18;336.29000000;332.64000000;338.37000000;338.37000000
S;SUL;2013-01-18;336.29000000;332.64000000;338.37000000;338.37000000
SE;SUDESTE;2013-01-18;336.29000000;332.64000000;338.37000000;338.37000000
N;NORTE;2013-01-25;477.81000000;475.96000000;478.86000000;478.86000000
NE;NORDESTE;2013-01-25;477.81000000;475.96000000;478.86000000;478.86000000
S;SUL;2013-01-25;477.81000000;475.96000000;478.86000000;478.86000000
SE;SUDESTE;2013-01-25;477.81000000;475.96000000;478.86000000;478.86000000
N;NORTE;2013-02-01;289.67000000;288.32000000;290.22000000;291.53000000
NE;NORDESTE;2013-02-01;289.67000000;288.32000000;290.22000000;291.53000000
S;SUL;2013-02-01;304.56000000;295.02000000;309.99000000;309.99000000
SE;SUDESTE;2013-02-01;304.56000000;295.02000000;309.99000000;309.99000000
N;NORTE;2013-02-08;172.95000000;168.47000000;175.50000000;175.50000000
NE;NORDESTE;2013-02-08;172.95000000;168.47000000;175.50000000;175.50000000
S;SUL;2013-02-08;172.95000000;168.47000000;175.50000000;175.50000000
SE;SUDESTE;2013-02-08;172.95000000;168.47000000;175.50000000;175.50000000
N;NORTE;2013-02-15;151.00000000;150.00000000;151.78000000;151.78000000
NE;NORDESTE;2013-02-15;151.00000000;150.00000000;151.78000000;151.78000000
S;SUL;2013-02-15;155.02000000;153.24000000;156.39000000;156.39000000
SE;SUDESTE;2013-02-15;155.02000000;153.24000000;156.39000000;156.39000000
N;NORTE;2013-02-22;212.13000000;206.52000000;215.30000000;215.30000000
NE;NORDESTE;2013-02-22;212.13000000;206.52000000;215.30000000;215.30000000
S;SUL;2013-02-22;214.41000000;208.10000000;217.97000000;217.97000000
SE;SUDESTE;2013-02-22;214.41000000;208.10000000;217.97000000;217.97000000
N;NORTE;2013-03-01;309.16000000;302.64000000;312.54000000;314.61000000
NE;NORDESTE;2013-03-01;309.16000000;302.64000000;312.54000000;314.61000000
S;SUL;2013-03-01;309.16000000;302.64000000;312.54000000;314.61000000
SE;SUDESTE;2013-03-01;309.16000000;302.64000000;312.54000000;314.61000000
N;NORTE;2013-03-08;367.10000000;361.05000000;370.33000000;371.66000000
NE;NORDESTE;2013-03-08;367.10000000;361.05000000;370.33000000;371.66000000
S;SUL;2013-03-08;368.56000000;363.11000000;371.66000000;371.66000000
SE;SUDESTE;2013-03-08;368.56000000;363.11000000;371.66000000;371.66000000
N;NORTE;2013-03-15;336.04000000;331.77000000;338.48000000;338.48000000
NE;NORDESTE;2013-03-15;336.04000000;331.77000000;338.48000000;338.48000000
S;SUL;2013-03-15;336.12000000;331.98000000;338.48000000;338.48000000
SE;SUDESTE;2013-03-15;336.12000000;331.98000000;338.48000000;338.48000000
N;NORTE;2013-03-22;336.01000000;334.38000000;336.94000000;336.94000000
NE;NORDESTE;2013-03-22;336.01000000;334.38000000;336.94000000;336.94000000
S;SUL;2013-03-22;336.01000000;334.38000000;336.94000000;336.94000000
SE;SUDESTE;2013-03-22;336.01000000;334.38000000;336.94000000;336.94000000
N;NORTE;2013-03-29;314.85000000;312.06000000;316.82000000;317.88000000
NE;NORDESTE;2013-03-29;315.17000000;312.80000000;316.82000000;317.88000000
S;SUL;2013-03-29;314.85000000;312.06000000;316.82000000;317.88000000
SE;SUDESTE;2013-03-29;314.85000000;312.06000000;316.82000000;317.88000000
N;NORTE;2013-04-05;296.48000000;295.73000000;296.40000000;299.43000000
NE;NORDESTE;2013-04-05;296.48000000;295.73000000;296.40000000;299.43000000
S;SUL;2013-04-05;296.48000000;295.73000000;296.40000000;299.43000000
SE;SUDESTE;2013-04-05;296.48000000;295.73000000;296.40000000;299.43000000
N;NORTE;2013-04-12;187.28000000;183.80000000;188.84000000;191.36000000
NE;NORDESTE;2013-04-12;188.45000000;187.03000000;188.84000000;191.36000000
S;SUL;2013-04-12;187.28000000;183.80000000;188.84000000;191.36000000
SE;SUDESTE;2013-04-12;187.28000000;183.80000000;188.84000000;191.36000000
N;NORTE;2013-04-19;149.67000000;146.37000000;151.27000000;152.98000000
NE;NORDESTE;2013-04-19;151.08000000;150.26000000;151.27000000;152.98000000
S;SUL;2013-04-19;149.67000000;146.37000000;151.27000000;152.98000000
SE;SUDESTE;2013-04-19;149.67000000;146.37000000;151.27000000;152.98000000
N;NORTE;2013-04-26;126.89000000;124.34000000;128.25000000;128.77000000
NE;NORDESTE;2013-04-26;130.24000000;127.05000000;132.06000000;132.06000000
S;SUL;2013-04-26;126.89000000;124.34000000;128.25000000;128.77000000
SE;SUDESTE;2013-04-26;126.89000000;124.34000000;128.25000000;128.77000000
N;NORTE;2013-05-03;273.94000000;271.17000000;275.74000000;277.81000000
NE;NORDESTE;2013-05-03;273.99000000;271.29000000;275.74000000;277.81000000
S;SUL;2013-05-03;273.94000000;271.17000000;275.74000000;277.81000000
SE;SUDESTE;2013-05-03;273.94000000;271.17000000;275.74000000;277.81000000
N;NORTE;2013-05-10;337.12000000;335.19000000;337.99000000;339.39000000
NE;NORDESTE;2013-05-10;337.12000000;335.19000000;337.99000000;339.39000000
S;SUL;2013-05-10;337.12000000;335.19000000;337.99000000;339.39000000
SE;SUDESTE;2013-05-10;337.12000000;335.19000000;337.99000000;339.39000000
N;NORTE;2013-05-17;352.14000000;349.59000000;353.03000000;356.38000000
NE;NORDESTE;2013-05-17;352.14000000;349.59000000;353.03000000;356.38000000
S;SUL;2013-05-17;352.14000000;349.59000000;353.03000000;356.38000000
SE;SUDESTE;2013-05-17;352.14000000;349.59000000;353.03000000;356.38000000
N;NORTE;2013-05-24;351.45000000;347.08000000;353.62000000;355.58000000
NE;NORDESTE;2013-05-24;351.45000000;347.08000000;353.62000000;355.58000000
S;SUL;2013-05-24;351.45000000;347.08000000;353.62000000;355.58000000
SE;SUDESTE;2013-05-24;351.45000000;347.08000000;353.62000000;355.58000000
N;NORTE;2013-05-31;352.07000000;349.37000000;353.63000000;356.88000000
NE;NORDESTE;2013-05-31;352.07000000;349.37000000;353.63000000;356.88000000
S;SUL;2013-05-31;352.07000000;349.37000000;353.63000000;356.88000000
SE;SUDESTE;2013-05-31;352.07000000;349.37000000;353.63000000;356.88000000
N;NORTE;2013-06-07;320.94000000;318.00000000;322.09000000;325.25000000
NE;NORDESTE;2013-06-07;320.94000000;318.00000000;322.09000000;325.25000000
S;SUL;2013-06-07;320.94000000;318.00000000;322.09000000;325.25000000
SE;SUDESTE;2013-06-07;320.94000000;318.00000000;322.09000000;325.25000000
N;NORTE;2013-06-14;175.52000000;173.89000000;176.19000000;177.70000000
NE;NORDESTE;2013-06-14;175.52000000;173.89000000;176.19000000;177.70000000
S;SUL;2013-06-14;175.52000000;173.89000000;176.19000000;177.70000000
SE;SUDESTE;2013-06-14;175.52000000;173.89000000;176.19000000;177.70000000
N;NORTE;2013-06-21;187.86000000;183.12000000;190.36000000;191.51000000
NE;NORDESTE;2013-06-21;187.86000000;183.12000000;190.36000000;191.51000000
S;SUL;2013-06-21;187.86000000;183.12000000;190.36000000;191.51000000
SE;SUDESTE;2013-06-21;187.86000000;183.12000000;190.36000000;191.51000000
N;NORTE;2013-06-28;160.84000000;156.35000000;162.99000000;165.39000000
NE;NORDESTE;2013-06-28;160.84000000;156.35000000;162.99000000;165.39000000
S;SUL;2013-06-28;160.66000000;156.35000000;162.99000000;163.76000000
SE;SUDESTE;2013-06-28;160.84000000;156.35000000;162.99000000;165.39000000
N;NORTE;2013-07-05;96.50000000;94.35000000;97.38000000;99.38000000
NE;NORDESTE;2013-07-05;98.83000000;97.86000000;99.38000000;99.38000000
S;SUL;2013-07-05;50.75000000;0E-8;79.35000000;81.34000000
SE;SUDESTE;2013-07-05;94.83000000;89.77000000;97.38000000;99.38000000
N;NORTE;2013-07-12;103.04000000;99.31000000;105.03000000;105.85000000
NE;NORDESTE;2013-07-12;103.04000000;99.31000000;105.04000000;105.85000000
S;SUL;2013-07-12;66.23000000;0E-8;103.61000000;105.85000000
SE;SUDESTE;2013-07-12;103.04000000;99.31000000;105.03000000;105.85000000
N;NORTE;2013-07-19;118.14000000;114.38000000;120.03000000;121.52000000
NE;NORDESTE;2013-07-19;118.14000000;114.38000000;120.03000000;121.52000000
S;SUL;2013-07-19;96.22000000;93.88000000;97.35000000;98.63000000
SE;SUDESTE;2013-07-19;118.14000000;114.38000000;120.03000000;121.52000000
N;NORTE;2013-07-26;123.12000000;120.07000000;124.53000000;126.52000000
NE;NORDESTE;2013-07-26;123.12000000;120.07000000;124.53000000;126.52000000
S;SUL;2013-07-26;123.12000000;120.07000000;124.53000000;126.52000000
SE;SUDESTE;2013-07-26;123.12000000;120.07000000;124.53000000;126.52000000
N;NORTE;2013-08-02;148.05000000;146.21000000;148.70000000;151.11000000
NE;NORDESTE;2013-08-02;148.05000000;146.21000000;148.70000000;151.11000000
S;SUL;2013-08-02;148.05000000;146.21000000;148.70000000;151.11000000
SE;SUDESTE;2013-08-02;148.05000000;146.21000000;148.70000000;151.11000000
N;NORTE;2013-08-09;159.10000000;157.42000000;159.65000000;162.10000000
NE;NORDESTE;2013-08-09;159.10000000;157.42000000;159.65000000;162.10000000
S;SUL;2013-08-09;159.10000000;157.42000000;159.65000000;162.10000000
SE;SUDESTE;2013-08-09;159.10000000;157.42000000;159.65000000;162.10000000
N;NORTE;2013-08-16;141.48000000;138.13000000;142.97000000;145.47000000
NE;NORDESTE;2013-08-16;141.48000000;138.13000000;142.97000000;145.47000000
S;SUL;2013-08-16;87.98000000;0E-8;138.13000000;138.13000000
SE;SUDESTE;2013-08-16;141.48000000;138.13000000;142.97000000;145.47000000
N;NORTE;2013-08-23;166.32000000;162.93000000;167.85000000;170.29000000
NE;NORDESTE;2013-08-23;166.32000000;162.93000000;167.85000000;170.29000000
S;SUL;2013-08-23;156.25000000;144.53000000;162.93000000;162.93000000
SE;SUDESTE;2013-08-23;166.32000000;162.93000000;167.85000000;170.29000000
N;NORTE;2013-08-30;152.48000000;147.89000000;154.95000000;155.80000000
NE;NORDESTE;2013-08-30;152.48000000;147.89000000;154.95000000;155.80000000
S;SUL;2013-08-30;135.93000000;114.96000000;147.89000000;147.89000000
