id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2008-01-04;250.79000000;250.79000000;250.79000000;250.79000000
NE;NORDESTE;2008-01-04;250.79000000;250.79000000;250.79000000;250.79000000
S;SUL;2008-01-04;248.79000000;248.79000000;248.79000000;248.79000000
SE;SUDESTE;2008-01-04;248.79000000;248.79000000;248.79000000;248.79000000
N;NORTE;2008-01-11;472.10000000;472.10000000;472.10000000;472.10000000
NE;NORDESTE;2008-01-11;472.10000000;472.10000000;472.10000000;472.10000000
S;SUL;2008-01-11;472.10000000;472.10000000;472.10000000;472.10000000
SE;SUDESTE;2008-01-11;472.10000000;472.10000000;472.10000000;472.10000000
N;NORTE;2008-01-18;637.23000000;637.23000000;637.23000000;637.23000000
NE;NORDESTE;2008-01-18;632.39000000;632.39000000;632.39000000;632.39000000
S;SUL;2008-01-18;637.23000000;637.23000000;637.23000000;637.23000000
SE;SUDESTE;2008-01-18;637.23000000;637.23000000;637.23000000;637.23000000
N;NORTE;2008-01-25;561.51000000;559.11000000;559.11000000;581.48000000
NE;NORDESTE;2008-01-25;559.11000000;559.11000000;559.11000000;559.11000000
S;SUL;2008-01-25;581.48000000;581.48000000;581.48000000;581.48000000
SE;SUDESTE;2008-01-25;581.48000000;581.48000000;581.48000000;581.48000000
N;NORTE;2008-02-01;554.98000000;554.98000000;554.98000000;554.98000000
NE;NORDESTE;2008-02-01;554.98000000;554.98000000;554.98000000;554.98000000
S;SUL;2008-02-01;554.98000000;554.98000000;554.98000000;554.98000000
SE;SUDESTE;2008-02-01;554.98000000;554.98000000;554.98000000;554.98000000
N;NORTE;2008-02-08;258.26000000;257.18000000;259.09000000;259.09000000
NE;NORDESTE;2008-02-08;259.09000000;259.09000000;259.09000000;259.09000000
S;SUL;2008-02-08;257.49000000;257.18000000;257.49000000;259.09000000
SE;SUDESTE;2008-02-08;257.49000000;257.18000000;257.49000000;259.09000000
N;NORTE;2008-02-15;121.07000000;120.15000000;121.31000000;123.04000000
NE;NORDESTE;2008-02-15;126.09000000;126.09000000;126.09000000;126.09000000
S;SUL;2008-02-15;121.97000000;120.15000000;123.00000000;123.04000000
SE;SUDESTE;2008-02-15;121.07000000;120.15000000;121.31000000;123.04000000
N;NORTE;2008-02-22;159.14000000;154.07000000;161.94000000;162.32000000
NE;NORDESTE;2008-02-22;189.13000000;189.13000000;189.13000000;189.13000000
S;SUL;2008-02-22;159.14000000;154.07000000;161.94000000;162.32000000
SE;SUDESTE;2008-02-22;159.14000000;154.07000000;161.94000000;162.32000000
N;NORTE;2008-02-29;212.17000000;205.76000000;215.74000000;216.21000000
NE;NORDESTE;2008-02-29;250.38000000;250.38000000;250.38000000;250.38000000
S;SUL;2008-02-29;212.17000000;205.76000000;215.74000000;216.21000000
SE;SUDESTE;2008-02-29;212.17000000;205.76000000;215.74000000;216.21000000
N;NORTE;2008-03-07;132.95000000;132.95000000;132.95000000;132.95000000
NE;NORDESTE;2008-03-07;132.95000000;132.95000000;132.95000000;132.95000000
S;SUL;2008-03-07;146.83000000;146.27000000;147.13000000;147.21000000
SE;SUDESTE;2008-03-07;146.83000000;146.27000000;147.13000000;147.21000000
N;NORTE;2008-03-14;124.31000000;124.31000000;124.31000000;124.31000000
NE;NORDESTE;2008-03-14;124.31000000;124.31000000;124.31000000;124.31000000
S;SUL;2008-03-14;138.19000000;133.94000000;140.50000000;141.17000000
SE;SUDESTE;2008-03-14;138.19000000;133.94000000;140.50000000;141.17000000
N;NORTE;2008-03-21;166.36000000;166.36000000;166.36000000;166.36000000
NE;NORDESTE;2008-03-21;166.36000000;166.36000000;166.36000000;166.36000000
S;SUL;2008-03-21;177.12000000;171.48000000;181.45000000;181.45000000
SE;SUDESTE;2008-03-21;173.86000000;171.48000000;174.62000000;181.45000000
N;NORTE;2008-03-28;77.32000000;74.68000000;78.46000000;80.61000000
NE;NORDESTE;2008-03-28;80.61000000;80.61000000;80.61000000;80.61000000
S;SUL;2008-03-28;84.97000000;74.69000000;90.84000000;90.84000000
SE;SUDESTE;2008-03-28;78.05000000;74.69000000;78.46000000;87.44000000
N;NORTE;2008-04-04;52.29000000;0E-8;82.10000000;82.10000000
NE;NORDESTE;2008-04-04;81.97000000;81.74000000;82.10000000;82.10000000
S;SUL;2008-04-04;86.48000000;80.86000000;89.69000000;89.69000000
SE;SUDESTE;2008-04-04;83.26000000;80.86000000;83.72000000;89.09000000
N;NORTE;2008-04-11;67.37000000;0E-8;105.78000000;105.78000000
NE;NORDESTE;2008-04-11;105.78000000;105.78000000;105.78000000;105.78000000
