id_subsistema;nom_subsistema;din_instante;val_cmomediasemanal;val_cmoleve;val_cmomedia;val_cmopesada
N;NORTE;2015-01-02;529.36000000;529.36000000;529.36000000;529.36000000
NE;NORDESTE;2015-01-02;529.36000000;529.36000000;529.36000000;529.36000000
S;SUL;2015-01-02;529.36000000;529.36000000;529.36000000;529.36000000
SE;SUDESTE;2015-01-02;529.36000000;529.36000000;529.36000000;529.36000000
N;NORTE;2015-01-09;494.40000000;485.87000000;499.27000000;499.27000000
NE;NORDESTE;2015-01-09;494.40000000;485.87000000;499.27000000;499.27000000
S;SUL;2015-01-09;494.40000000;485.87000000;499.27000000;499.27000000
SE;SUDESTE;2015-01-09;494.40000000;485.87000000;499.27000000;499.27000000
N;NORTE;2015-01-16;917.57000000;904.13000000;925.23000000;925.23000000
NE;NORDESTE;2015-01-16;917.57000000;904.13000000;925.23000000;925.23000000
S;SUL;2015-01-16;917.57000000;904.13000000;925.23000000;925.23000000
SE;SUDESTE;2015-01-16;917.57000000;904.13000000;925.23000000;925.23000000
N;NORTE;2015-01-23;823.65000000;775.66000000;851.01000000;851.01000000
NE;NORDESTE;2015-01-23;823.65000000;775.66000000;851.01000000;851.01000000
S;SUL;2015-01-23;1402.96000000;1393.36000000;1408.44000000;1408.44000000
SE;SUDESTE;2015-01-23;1402.96000000;1393.36000000;1408.44000000;1408.44000000
N;NORTE;2015-01-30;1420.66000000;1420.66000000;1420.66000000;1420.66000000
NE;NORDESTE;2015-01-30;1420.66000000;1420.66000000;1420.66000000;1420.66000000
S;SUL;2015-01-30;1445.61000000;1430.69000000;1454.12000000;1454.12000000
SE;SUDESTE;2015-01-30;1445.61000000;1430.69000000;1454.12000000;1454.12000000
N;NORTE;2015-02-06;843.80000000;842.93000000;842.93000000;851.02000000
NE;NORDESTE;2015-02-06;848.08000000;842.93000000;851.02000000;851.02000000
S;SUL;2015-02-06;1916.92000000;1863.32000000;1947.48000000;1947.48000000
SE;SUDESTE;2015-02-06;1916.92000000;1863.32000000;1947.48000000;1947.48000000
N;NORTE;2015-02-13;1527.88000000;1527.88000000;1527.88000000;1527.88000000
NE;NORDESTE;2015-02-13;1527.88000000;1527.88000000;1527.88000000;1527.88000000
S;SUL;2015-02-13;2158.57000000;2110.44000000;2186.01000000;2186.01000000
SE;SUDESTE;2015-02-13;2158.57000000;2110.44000000;2186.01000000;2186.01000000
N;NORTE;2015-02-20;889.45000000;888.42000000;888.42000000;899.93000000
NE;NORDESTE;2015-02-20;889.45000000;888.42000000;888.42000000;899.93000000
S;SUL;2015-02-20;1314.92000000;1297.43000000;1328.36000000;1328.36000000
SE;SUDESTE;2015-02-20;1314.92000000;1297.43000000;1328.36000000;1328.36000000
N;NORTE;2015-02-27;1057.33000000;1046.45000000;1063.47000000;1063.47000000
NE;NORDESTE;2015-02-27;1057.33000000;1046.45000000;1063.47000000;1063.47000000
S;SUL;2015-02-27;1606.42000000;1577.69000000;1622.64000000;1622.64000000
SE;SUDESTE;2015-02-27;1606.42000000;1577.69000000;1622.64000000;1622.64000000
N;NORTE;2015-03-06;462.98000000;458.00000000;458.00000000;504.45000000
NE;NORDESTE;2015-03-06;700.85000000;569.55000000;775.71000000;775.71000000
S;SUL;2015-03-06;1331.34000000;1291.89000000;1353.83000000;1353.83000000
SE;SUDESTE;2015-03-06;1331.34000000;1291.89000000;1353.83000000;1353.83000000
N;NORTE;2015-03-13;345.50000000;334.10000000;349.64000000;363.60000000
NE;NORDESTE;2015-03-13;639.56000000;464.16000000;739.56000000;739.56000000
S;SUL;2015-03-13;1256.26000000;1229.14000000;1271.72000000;1271.72000000
SE;SUDESTE;2015-03-13;1256.26000000;1229.14000000;1271.72000000;1271.72000000
N;NORTE;2015-03-20;538.73000000;538.73000000;538.73000000;538.73000000
NE;NORDESTE;2015-03-20;759.12000000;730.02000000;775.71000000;775.71000000
S;SUL;2015-03-20;1130.44000000;1100.47000000;1147.53000000;1147.53000000
