id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2010-01-01;51766.00000000;34287.00000000;66.23999786
N;NORTE;2010-01-01;12415.00000000;6943.00000000;55.93000031
SE;SUDESTE;2010-01-01;193032.00000000;140565.00000000;72.81999969
S;SUL;2010-01-01;18895.00000000;18368.00000000;97.20999908
NE;NORDESTE;2010-01-02;51766.00000000;34325.00000000;66.30999756
N;NORTE;2010-01-02;12415.00000000;7115.00000000;57.31000137
SE;SUDESTE;2010-01-02;193032.00000000;141110.00000000;73.09999847
S;SUL;2010-01-02;18895.00000000;18337.00000000;97.05000305
NE;NORDESTE;2010-01-03;51766.00000000;34343.00000000;66.33999634
N;NORTE;2010-01-03;12415.00000000;7317.00000000;58.93999863
SE;SUDESTE;2010-01-03;193032.00000000;141367.00000000;73.23000336
S;SUL;2010-01-03;18895.00000000;18343.00000000;97.08000183
NE;NORDESTE;2010-01-04;51766.00000000;34557.00000000;66.76000214
N;NORTE;2010-01-04;12415.00000000;7416.00000000;59.74000168
SE;SUDESTE;2010-01-04;193032.00000000;141421.00000000;73.26000214
S;SUL;2010-01-04;18895.00000000;18458.00000000;97.69000244
NE;NORDESTE;2010-01-05;51766.00000000;34460.00000000;66.56999969
N;NORTE;2010-01-05;12415.00000000;7524.00000000;60.61000061
SE;SUDESTE;2010-01-05;193032.00000000;141534.00000000;73.31999969
S;SUL;2010-01-05;18895.00000000;18565.00000000;98.25000000
NE;NORDESTE;2010-01-06;51766.00000000;34815.00000000;67.25000000
N;NORTE;2010-01-06;12415.00000000;7658.00000000;61.68000031
SE;SUDESTE;2010-01-06;193032.00000000;141404.00000000;73.25000000
S;SUL;2010-01-06;18895.00000000;18609.00000000;98.48000336
NE;NORDESTE;2010-01-07;51766.00000000;34823.00000000;67.26999664
N;NORTE;2010-01-07;12415.00000000;7774.00000000;62.61999893
SE;SUDESTE;2010-01-07;193032.00000000;141439.00000000;73.26999664
S;SUL;2010-01-07;18895.00000000;18627.00000000;98.58000183
NE;NORDESTE;2010-01-08;51766.00000000;35069.00000000;67.75000000
N;NORTE;2010-01-08;12415.00000000;7928.00000000;63.86000061
SE;SUDESTE;2010-01-08;193032.00000000;141646.00000000;73.37999725
S;SUL;2010-01-08;18895.00000000;18612.00000000;98.50000000
NE;NORDESTE;2010-01-09;51766.00000000;35279.00000000;68.15000153
N;NORTE;2010-01-09;12415.00000000;8132.00000000;65.50000000
SE;SUDESTE;2010-01-09;193032.00000000;141886.00000000;73.50000000
S;SUL;2010-01-09;18895.00000000;18595.00000000;98.41000366
NE;NORDESTE;2010-01-10;51766.00000000;35471.00000000;68.51999664
N;NORTE;2010-01-10;12415.00000000;8366.00000000;67.38999939
SE;SUDESTE;2010-01-10;193032.00000000;142061.00000000;73.58999634
S;SUL;2010-01-10;18895.00000000;18596.00000000;98.41999817
NE;NORDESTE;2010-01-11;51766.00000000;35692.00000000;68.94999695
N;NORTE;2010-01-11;12415.00000000;8526.00000000;68.68000031
SE;SUDESTE;2010-01-11;193032.00000000;142006.00000000;73.56999969
S;SUL;2010-01-11;18895.00000000;18590.00000000;98.37999725
NE;NORDESTE;2010-01-12;51766.00000000;35660.00000000;68.88999939
N;NORTE;2010-01-12;12415.00000000;8657.00000000;69.73000336
SE;SUDESTE;2010-01-12;193032.00000000;142213.00000000;73.66999817
S;SUL;2010-01-12;18895.00000000;18546.00000000;98.15000153
NE;NORDESTE;2010-01-13;51766.00000000;35764.00000000;69.08999634
N;NORTE;2010-01-13;12415.00000000;8756.00000000;70.52999878
SE;SUDESTE;2010-01-13;193032.00000000;142378.00000000;73.76000214
S;SUL;2010-01-13;18895.00000000;18539.00000000;98.11000061
NE;NORDESTE;2010-01-14;51766.00000000;36092.00000000;69.72000122
N;NORTE;2010-01-14;12415.00000000;8852.00000000;71.30000305
SE;SUDESTE;2010-01-14;193032.00000000;142705.00000000;73.93000031
S;SUL;2010-01-14;18895.00000000;18554.00000000;98.19000244
NE;NORDESTE;2010-01-15;51766.00000000;36137.00000000;69.80999756
N;NORTE;2010-01-15;12415.00000000;8962.00000000;72.19000244
SE;SUDESTE;2010-01-15;193032.00000000;142979.00000000;74.06999969
S;SUL;2010-01-15;18895.00000000;18562.00000000;98.23999786
NE;NORDESTE;2010-01-16;51766.00000000;36258.00000000;70.04000092
N;NORTE;2010-01-16;12415.00000000;9098.00000000;73.27999878
SE;SUDESTE;2010-01-16;193032.00000000;143315.00000000;74.23999786
S;SUL;2010-01-16;18895.00000000;18534.00000000;98.08999634
NE;NORDESTE;2010-01-17;51766.00000000;36510.00000000;70.52999878
N;NORTE;2010-01-17;12415.00000000;9306.00000000;74.95999908
SE;SUDESTE;2010-01-17;193032.00000000;143669.00000000;74.43000031
S;SUL;2010-01-17;18895.00000000;18521.00000000;98.01999664
NE;NORDESTE;2010-01-18;51766.00000000;36591.00000000;70.69000244
N;NORTE;2010-01-18;12415.00000000;9439.00000000;76.02999878
SE;SUDESTE;2010-01-18;193032.00000000;143649.00000000;74.41999817
S;SUL;2010-01-18;18895.00000000;18492.00000000;97.87000275
NE;NORDESTE;2010-01-19;51766.00000000;36644.00000000;70.79000092
N;NORTE;2010-01-19;12415.00000000;9563.00000000;77.02999878
SE;SUDESTE;2010-01-19;193032.00000000;143803.00000000;74.50000000
S;SUL;2010-01-19;18895.00000000;18515.00000000;97.98999786
NE;NORDESTE;2010-01-20;51766.00000000;36675.00000000;70.84999847
N;NORTE;2010-01-20;12415.00000000;9678.00000000;77.95999908
SE;SUDESTE;2010-01-20;193032.00000000;144033.00000000;74.62000275
S;SUL;2010-01-20;18895.00000000;18529.00000000;98.05999756
NE;NORDESTE;2010-01-21;51766.00000000;36744.00000000;70.98000336
N;NORTE;2010-01-21;12415.00000000;9803.00000000;78.95999908
SE;SUDESTE;2010-01-21;193032.00000000;144417.00000000;74.80999756
S;SUL;2010-01-21;18895.00000000;18450.00000000;97.63999939
NE;NORDESTE;2010-01-22;51766.00000000;36827.00000000;71.13999939
N;NORTE;2010-01-22;12415.00000000;9897.00000000;79.72000122
SE;SUDESTE;2010-01-22;193032.00000000;144667.00000000;74.94000244
S;SUL;2010-01-22;18895.00000000;18296.00000000;96.83000183
NE;NORDESTE;2010-01-23;51766.00000000;36912.00000000;71.30999756
N;NORTE;2010-01-23;12415.00000000;10047.00000000;80.93000031
SE;SUDESTE;2010-01-23;193032.00000000;144966.00000000;75.09999847
S;SUL;2010-01-23;18895.00000000;18167.00000000;96.15000153
NE;NORDESTE;2010-01-24;51766.00000000;36935.00000000;71.34999847
N;NORTE;2010-01-24;12415.00000000;10223.00000000;82.34999847
SE;SUDESTE;2010-01-24;193032.00000000;145272.00000000;75.26000214
S;SUL;2010-01-24;18895.00000000;18110.00000000;95.83999634
NE;NORDESTE;2010-01-25;51766.00000000;36976.00000000;71.43000031
N;NORTE;2010-01-25;12415.00000000;10367.00000000;83.51000214
SE;SUDESTE;2010-01-25;193032.00000000;145638.00000000;75.44999695
S;SUL;2010-01-25;18895.00000000;18055.00000000;95.55000305
NE;NORDESTE;2010-01-26;51766.00000000;37155.00000000;71.77999878
N;NORTE;2010-01-26;12415.00000000;10443.00000000;84.12000275
SE;SUDESTE;2010-01-26;193032.00000000;146131.00000000;75.69999695
S;SUL;2010-01-26;18895.00000000;17942.00000000;94.94999695
NE;NORDESTE;2010-01-27;51766.00000000;37061.00000000;71.58999634
N;NORTE;2010-01-27;12415.00000000;10525.00000000;84.77999878
SE;SUDESTE;2010-01-27;193032.00000000;146548.00000000;75.91999817
S;SUL;2010-01-27;18895.00000000;17963.00000000;95.06999969
NE;NORDESTE;2010-01-28;51766.00000000;36950.00000000;71.37999725
N;NORTE;2010-01-28;12415.00000000;10633.00000000;85.65000153
SE;SUDESTE;2010-01-28;193032.00000000;146741.00000000;76.01999664
S;SUL;2010-01-28;18895.00000000;18054.00000000;95.55000305
NE;NORDESTE;2010-01-29;51766.00000000;36928.00000000;71.33999634
N;NORTE;2010-01-29;12415.00000000;10768.00000000;86.73999786
SE;SUDESTE;2010-01-29;193032.00000000;147113.00000000;76.20999908
S;SUL;2010-01-29;18895.00000000;18040.00000000;95.47000122
NE;NORDESTE;2010-01-30;51766.00000000;36831.00000000;71.15000153
N;NORTE;2010-01-30;12415.00000000;10906.00000000;87.84999847
SE;SUDESTE;2010-01-30;193561.00000000;147954.00000000;76.44000244
S;SUL;2010-01-30;18895.00000000;18139.00000000;96.00000000
NE;NORDESTE;2010-01-31;51766.00000000;36853.00000000;71.19000244
N;NORTE;2010-01-31;12415.00000000;11089.00000000;89.31999969
SE;SUDESTE;2010-01-31;193561.00000000;148451.00000000;76.69000244
S;SUL;2010-01-31;18895.00000000;18210.00000000;96.37000275
NE;NORDESTE;2010-02-01;51766.00000000;36779.00000000;71.05000305
N;NORTE;2010-02-01;12415.00000000;11178.00000000;90.04000092
SE;SUDESTE;2010-02-01;193561.00000000;148523.00000000;76.73000336
S;SUL;2010-02-01;18895.00000000;18217.00000000;96.41000366
NE;NORDESTE;2010-02-02;51766.00000000;36920.00000000;71.31999969
N;NORTE;2010-02-02;12415.00000000;11256.00000000;90.66999817
SE;SUDESTE;2010-02-02;193561.00000000;148496.00000000;76.72000122
S;SUL;2010-02-02;18895.00000000;18281.00000000;96.75000000
NE;NORDESTE;2010-02-03;51766.00000000;36813.00000000;71.11000061
N;NORTE;2010-02-03;12415.00000000;11317.00000000;91.16000366
SE;SUDESTE;2010-02-03;193561.00000000;148348.00000000;76.63999939
S;SUL;2010-02-03;18895.00000000;18300.00000000;96.84999847
NE;NORDESTE;2010-02-04;51766.00000000;36816.00000000;71.12000275
N;NORTE;2010-02-04;12415.00000000;11358.00000000;91.48999786
SE;SUDESTE;2010-02-04;193561.00000000;148080.00000000;76.50000000
S;SUL;2010-02-04;18895.00000000;18286.00000000;96.77999878
NE;NORDESTE;2010-02-05;51766.00000000;36635.00000000;70.76999664
N;NORTE;2010-02-05;12415.00000000;11410.00000000;91.91000366
