id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2008-01-01;51766.00000000;13873.00000000;26.79999924
N;NORTE;2008-01-01;12415.00000000;3758.00000000;30.27000046
SE;SUDESTE;2008-01-01;189205.00000000;87008.00000000;45.99000168
S;SUL;2008-01-01;18599.00000000;13609.00000000;73.16999817
NE;NORDESTE;2008-01-02;51766.00000000;13914.00000000;26.87999916
N;NORTE;2008-01-02;12415.00000000;3752.00000000;30.21999931
SE;SUDESTE;2008-01-02;189205.00000000;86477.00000000;45.70999908
S;SUL;2008-01-02;18599.00000000;13625.00000000;73.26000214
NE;NORDESTE;2008-01-03;51766.00000000;13954.00000000;26.95999908
N;NORTE;2008-01-03;12415.00000000;3728.00000000;30.03000069
SE;SUDESTE;2008-01-03;189205.00000000;85948.00000000;45.43000031
S;SUL;2008-01-03;18599.00000000;13626.00000000;73.26000214
NE;NORDESTE;2008-01-04;51766.00000000;13927.00000000;26.89999962
N;NORTE;2008-01-04;12415.00000000;3712.00000000;29.89999962
SE;SUDESTE;2008-01-04;189205.00000000;85357.00000000;45.11000061
S;SUL;2008-01-04;18599.00000000;13640.00000000;73.33999634
NE;NORDESTE;2008-01-05;51766.00000000;13953.00000000;26.95000076
N;NORTE;2008-01-05;12415.00000000;3725.00000000;30.00000000
SE;SUDESTE;2008-01-05;189205.00000000;84951.00000000;44.90000153
S;SUL;2008-01-05;18599.00000000;13698.00000000;73.65000153
NE;NORDESTE;2008-01-06;51766.00000000;13944.00000000;26.94000053
N;NORTE;2008-01-06;12415.00000000;3731.00000000;30.04999924
SE;SUDESTE;2008-01-06;189205.00000000;84802.00000000;44.81999969
S;SUL;2008-01-06;18599.00000000;13818.00000000;74.30000305
NE;NORDESTE;2008-01-07;51766.00000000;14173.00000000;27.37999916
N;NORTE;2008-01-07;12415.00000000;3721.00000000;29.96999931
SE;SUDESTE;2008-01-07;189205.00000000;84605.00000000;44.72000122
S;SUL;2008-01-07;18599.00000000;13803.00000000;74.20999908
NE;NORDESTE;2008-01-08;51766.00000000;14132.00000000;27.29999924
N;NORTE;2008-01-08;12415.00000000;3706.00000000;29.85000038
SE;SUDESTE;2008-01-08;189205.00000000;84418.00000000;44.61999893
S;SUL;2008-01-08;18599.00000000;13763.00000000;74.00000000
NE;NORDESTE;2008-01-09;51766.00000000;14029.00000000;27.10000038
N;NORTE;2008-01-09;12415.00000000;3700.00000000;29.79999924
SE;SUDESTE;2008-01-09;189205.00000000;84310.00000000;44.56000137
S;SUL;2008-01-09;18599.00000000;13701.00000000;73.66999817
NE;NORDESTE;2008-01-10;51766.00000000;14029.00000000;27.10000038
N;NORTE;2008-01-10;12415.00000000;3685.00000000;29.68000031
SE;SUDESTE;2008-01-10;189205.00000000;84095.00000000;44.45000076
S;SUL;2008-01-10;18599.00000000;13607.00000000;73.16000366
NE;NORDESTE;2008-01-11;51766.00000000;14021.00000000;27.09000015
N;NORTE;2008-01-11;12415.00000000;3659.00000000;29.46999931
SE;SUDESTE;2008-01-11;189205.00000000;83946.00000000;44.36999893
S;SUL;2008-01-11;18599.00000000;13503.00000000;72.59999847
NE;NORDESTE;2008-01-12;51766.00000000;13976.00000000;27.00000000
N;NORTE;2008-01-12;12415.00000000;3655.00000000;29.44000053
SE;SUDESTE;2008-01-12;189205.00000000;84017.00000000;44.40999985
S;SUL;2008-01-12;18599.00000000;13430.00000000;72.20999908
NE;NORDESTE;2008-01-13;51766.00000000;14027.00000000;27.10000038
N;NORTE;2008-01-13;12415.00000000;3679.00000000;29.62999916
SE;SUDESTE;2008-01-13;189205.00000000;84507.00000000;44.65999985
S;SUL;2008-01-13;18599.00000000;13378.00000000;71.93000031
NE;NORDESTE;2008-01-14;51766.00000000;14000.00000000;27.04000092
N;NORTE;2008-01-14;12415.00000000;3678.00000000;29.62999916
SE;SUDESTE;2008-01-14;189205.00000000;84572.00000000;44.70000076
S;SUL;2008-01-14;18599.00000000;13246.00000000;71.22000122
NE;NORDESTE;2008-01-15;51766.00000000;14051.00000000;27.13999939
N;NORTE;2008-01-15;12415.00000000;3666.00000000;29.53000069
SE;SUDESTE;2008-01-15;189205.00000000;84748.00000000;44.79000092
S;SUL;2008-01-15;18599.00000000;13107.00000000;70.47000122
NE;NORDESTE;2008-01-16;51766.00000000;14076.00000000;27.19000053
N;NORTE;2008-01-16;12415.00000000;3647.00000000;29.37999916
SE;SUDESTE;2008-01-16;189205.00000000;84790.00000000;44.81000137
S;SUL;2008-01-16;18599.00000000;12976.00000000;69.76999664
NE;NORDESTE;2008-01-17;51766.00000000;14060.00000000;27.15999985
