id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2020-01-01;51602.07031250;19613.60156250;38.00930023
N;NORTE;2020-01-01;15164.88671875;2298.30590820;15.15540028
SE;SUDESTE;2020-01-01;203567.07812500;41121.62890625;20.20050049
S;SUL;2020-01-01;19897.04687500;5957.99707031;29.94409943
NE;NORDESTE;2020-01-02;51602.07031250;19650.27539063;38.08039856
N;NORTE;2020-01-02;15164.88671875;2295.26806641;15.13539982
SE;SUDESTE;2020-01-02;203567.07812500;40895.89453125;20.08959961
S;SUL;2020-01-02;19897.04687500;5906.62402344;29.68589973
NE;NORDESTE;2020-01-03;51602.07031250;19679.16992188;38.13639832
N;NORTE;2020-01-03;15164.88671875;2280.89990234;15.04069996
SE;SUDESTE;2020-01-03;203567.07812500;40780.13671875;20.03280067
S;SUL;2020-01-03;19897.04687500;5895.16992188;29.62840080
NE;NORDESTE;2020-01-04;51602.07031250;19709.23828125;38.19469833
N;NORTE;2020-01-04;15164.88671875;2288.71606445;15.09220028
SE;SUDESTE;2020-01-04;203567.07812500;40851.36718750;20.06780052
S;SUL;2020-01-04;19897.04687500;5879.12109375;29.54770088
NE;NORDESTE;2020-01-05;51602.07031250;19753.49023438;38.28039932
N;NORTE;2020-01-05;15164.88671875;2302.35888672;15.18220043
SE;SUDESTE;2020-01-05;203567.07812500;41204.62109375;20.24130058
S;SUL;2020-01-05;19897.04687500;5891.90283203;29.61190033
NE;NORDESTE;2020-01-06;51602.07031250;19814.34765625;38.39839935
N;NORTE;2020-01-06;15164.88671875;2298.15087891;15.15439987
SE;SUDESTE;2020-01-06;203567.07812500;41253.45312500;20.26530075
S;SUL;2020-01-06;19897.04687500;5841.63818359;29.35930061
NE;NORDESTE;2020-01-07;51602.07031250;19859.75781250;38.48640060
N;NORTE;2020-01-07;15164.88671875;2306.96899414;15.21259975
SE;SUDESTE;2020-01-07;203567.07812500;41413.58593750;20.34399986
S;SUL;2020-01-07;19897.04687500;5773.00683594;29.01440048
