id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2002-01-01;49967.00000000;7564.00000000;15.14000034
N;NORTE;2002-01-01;12311.00000000;4479.00000000;36.38000107
SE;SUDESTE;2002-01-01;165307.00000000;54758.00000000;33.13000107
S;SUL;2002-01-01;14645.00000000;12121.00000000;82.76000214
NE;NORDESTE;2002-01-02;49967.00000000;8163.00000000;16.34000015
N;NORTE;2002-01-02;12311.00000000;4642.00000000;37.70999908
SE;SUDESTE;2002-01-02;165307.00000000;55740.00000000;33.72000122
S;SUL;2002-01-02;14645.00000000;12113.00000000;82.70999908
NE;NORDESTE;2002-01-03;49967.00000000;8280.00000000;16.56999969
N;NORTE;2002-01-03;12311.00000000;4809.00000000;39.06000137
SE;SUDESTE;2002-01-03;165307.00000000;56662.00000000;34.27999878
S;SUL;2002-01-03;14645.00000000;12073.00000000;82.44000244
NE;NORDESTE;2002-01-04;49967.00000000;8763.00000000;17.54000092
N;NORTE;2002-01-04;12311.00000000;4991.00000000;40.54000092
SE;SUDESTE;2002-01-04;165307.00000000;57319.00000000;34.66999817
S;SUL;2002-01-04;14645.00000000;12079.00000000;82.48000336
NE;NORDESTE;2002-01-05;49967.00000000;9194.00000000;18.39999962
N;NORTE;2002-01-05;12311.00000000;5170.00000000;41.99000168
SE;SUDESTE;2002-01-05;165307.00000000;57849.00000000;34.99000168
S;SUL;2002-01-05;14645.00000000;12074.00000000;82.44000244
NE;NORDESTE;2002-01-06;49967.00000000;9619.00000000;19.25000000
N;NORTE;2002-01-06;12311.00000000;5413.00000000;43.97000122
SE;SUDESTE;2002-01-06;165307.00000000;58413.00000000;35.34000015
S;SUL;2002-01-06;14645.00000000;12088.00000000;82.54000092
NE;NORDESTE;2002-01-07;49967.00000000;10026.00000000;20.06999969
N;NORTE;2002-01-07;12311.00000000;5645.00000000;45.84999847
SE;SUDESTE;2002-01-07;165307.00000000;58820.00000000;35.58000183
S;SUL;2002-01-07;14645.00000000;12042.00000000;82.22000122
NE;NORDESTE;2002-01-08;49967.00000000;10589.00000000;21.19000053
N;NORTE;2002-01-08;12311.00000000;5896.00000000;47.88999939
SE;SUDESTE;2002-01-08;165307.00000000;59375.00000000;35.91999817
S;SUL;2002-01-08;14645.00000000;11969.00000000;81.73000336
NE;NORDESTE;2002-01-09;49967.00000000;11058.00000000;22.12999916
N;NORTE;2002-01-09;12311.00000000;6159.00000000;50.02999878
SE;SUDESTE;2002-01-09;165307.00000000;60007.00000000;36.29999924
S;SUL;2002-01-09;14645.00000000;11928.00000000;81.44999695
NE;NORDESTE;2002-01-10;49967.00000000;11350.00000000;22.71999931
N;NORTE;2002-01-10;12311.00000000;6404.00000000;52.02000046
SE;SUDESTE;2002-01-10;165307.00000000;60611.00000000;36.66999817
S;SUL;2002-01-10;14645.00000000;11875.00000000;81.08000183
NE;NORDESTE;2002-01-11;49967.00000000;11637.00000000;23.29000092
N;NORTE;2002-01-11;12311.00000000;6657.00000000;54.06999969
SE;SUDESTE;2002-01-11;165307.00000000;61185.00000000;37.00999832
S;SUL;2002-01-11;14645.00000000;11833.00000000;80.80000305
NE;NORDESTE;2002-01-12;49967.00000000;12070.00000000;24.15999985
N;NORTE;2002-01-12;12311.00000000;6816.00000000;55.36000061
SE;SUDESTE;2002-01-12;165307.00000000;61866.00000000;37.41999817
S;SUL;2002-01-12;14645.00000000;11892.00000000;81.19999695
NE;NORDESTE;2002-01-13;49967.00000000;12487.00000000;24.98999977
N;NORTE;2002-01-13;12311.00000000;6957.00000000;56.50999832
SE;SUDESTE;2002-01-13;165307.00000000;63178.00000000;38.22000122
S;SUL;2002-01-13;14645.00000000;12013.00000000;82.02999878
NE;NORDESTE;2002-01-14;49967.00000000;12788.00000000;25.59000015
N;NORTE;2002-01-14;12311.00000000;7089.00000000;57.58000183
SE;SUDESTE;2002-01-14;165307.00000000;64494.00000000;39.00999832
S;SUL;2002-01-14;14645.00000000;12059.00000000;82.33999634
NE;NORDESTE;2002-01-15;49967.00000000;13077.00000000;26.17000008
N;NORTE;2002-01-15;12311.00000000;7236.00000000;58.77999878
SE;SUDESTE;2002-01-15;165307.00000000;65763.00000000;39.77999878
S;SUL;2002-01-15;14645.00000000;12146.00000000;82.93000031
NE;NORDESTE;2002-01-16;49967.00000000;13540.00000000;27.10000038
N;NORTE;2002-01-16;12311.00000000;7410.00000000;60.18999863
SE;SUDESTE;2002-01-16;165307.00000000;66958.00000000;40.50999832
S;SUL;2002-01-16;14645.00000000;12210.00000000;83.37000275
NE;NORDESTE;2002-01-17;49967.00000000;13910.00000000;27.84000015
N;NORTE;2002-01-17;12311.00000000;7566.00000000;61.45999908
SE;SUDESTE;2002-01-17;165307.00000000;68012.00000000;41.13999939
S;SUL;2002-01-17;14645.00000000;12287.00000000;83.90000153
NE;NORDESTE;2002-01-18;49967.00000000;14559.00000000;29.13999939
N;NORTE;2002-01-18;12311.00000000;7736.00000000;62.84000015
SE;SUDESTE;2002-01-18;165307.00000000;69073.00000000;41.77999878
S;SUL;2002-01-18;14645.00000000;12370.00000000;84.45999908
NE;NORDESTE;2002-01-19;49967.00000000;15172.00000000;30.36000061
N;NORTE;2002-01-19;12311.00000000;7940.00000000;64.48999786
SE;SUDESTE;2002-01-19;165307.00000000;70198.00000000;42.47000122
S;SUL;2002-01-19;14645.00000000;12474.00000000;85.16999817
NE;NORDESTE;2002-01-20;49967.00000000;15702.00000000;31.43000031
N;NORTE;2002-01-20;12311.00000000;8127.00000000;66.01000214
SE;SUDESTE;2002-01-20;165307.00000000;71315.00000000;43.13999939
S;SUL;2002-01-20;14645.00000000;12558.00000000;85.75000000
NE;NORDESTE;2002-01-21;49967.00000000;16120.00000000;32.25999832
N;NORTE;2002-01-21;12311.00000000;8265.00000000;67.12999725
SE;SUDESTE;2002-01-21;165307.00000000;72064.00000000;43.59000015
S;SUL;2002-01-21;14645.00000000;12563.00000000;85.77999878
NE;NORDESTE;2002-01-22;49967.00000000;16508.00000000;33.04000092
N;NORTE;2002-01-22;12311.00000000;8361.00000000;67.91000366
SE;SUDESTE;2002-01-22;165307.00000000;72720.00000000;43.99000168
S;SUL;2002-01-22;14645.00000000;12575.00000000;85.86000061
NE;NORDESTE;2002-01-23;49967.00000000;16779.00000000;33.58000183
N;NORTE;2002-01-23;12311.00000000;8457.00000000;68.69000244
SE;SUDESTE;2002-01-23;165307.00000000;73327.00000000;44.36000061
S;SUL;2002-01-23;14645.00000000;12633.00000000;86.26000214
NE;NORDESTE;2002-01-24;49967.00000000;16994.00000000;34.00999832
N;NORTE;2002-01-24;12311.00000000;8540.00000000;69.37000275
SE;SUDESTE;2002-01-24;165307.00000000;73925.00000000;44.72000122
S;SUL;2002-01-24;14645.00000000;12712.00000000;86.80000305
NE;NORDESTE;2002-01-25;49967.00000000;17100.00000000;34.22000122
N;NORTE;2002-01-25;12311.00000000;8601.00000000;69.86000061
SE;SUDESTE;2002-01-25;165307.00000000;74477.00000000;45.04999924
S;SUL;2002-01-25;14645.00000000;12850.00000000;87.73999786
NE;NORDESTE;2002-01-26;49967.00000000;17269.00000000;34.56000137
N;NORTE;2002-01-26;12311.00000000;8659.00000000;70.33000183
SE;SUDESTE;2002-01-26;165307.00000000;74974.00000000;45.34999847
S;SUL;2002-01-26;14645.00000000;12976.00000000;88.59999847
NE;NORDESTE;2002-01-27;49967.00000000;17509.00000000;35.04000092
N;NORTE;2002-01-27;12311.00000000;8679.00000000;70.50000000
SE;SUDESTE;2002-01-27;165307.00000000;75617.00000000;45.74000168
S;SUL;2002-01-27;14645.00000000;13084.00000000;89.33999634
NE;NORDESTE;2002-01-28;49967.00000000;17664.00000000;35.34999847
N;NORTE;2002-01-28;12311.00000000;8662.00000000;70.36000061
SE;SUDESTE;2002-01-28;165307.00000000;76159.00000000;46.06999969
S;SUL;2002-01-28;14645.00000000;13324.00000000;90.98000336
NE;NORDESTE;2002-01-29;49967.00000000;17965.00000000;35.95000076
N;NORTE;2002-01-29;12311.00000000;8686.00000000;70.55000305
SE;SUDESTE;2002-01-29;165307.00000000;76715.00000000;46.40999985
S;SUL;2002-01-29;14645.00000000;13474.00000000;92.00000000
NE;NORDESTE;2002-01-30;49967.00000000;18220.00000000;36.45999908
N;NORTE;2002-01-30;12311.00000000;8675.00000000;70.45999908
SE;SUDESTE;2002-01-30;165307.00000000;77297.00000000;46.75999832
S;SUL;2002-01-30;14645.00000000;13531.00000000;92.38999939
NE;NORDESTE;2002-01-31;49967.00000000;18536.00000000;37.09999847
N;NORTE;2002-01-31;12311.00000000;8690.00000000;70.58999634
SE;SUDESTE;2002-01-31;165307.00000000;77797.00000000;47.06000137
S;SUL;2002-01-31;14645.00000000;13561.00000000;92.59999847
NE;NORDESTE;2002-02-01;49967.00000000;18844.00000000;37.70999908
N;NORTE;2002-02-01;12311.00000000;8707.00000000;70.72000122
SE;SUDESTE;2002-02-01;165307.00000000;78201.00000000;47.31000137
S;SUL;2002-02-01;14645.00000000;13561.00000000;92.59999847
NE;NORDESTE;2002-02-02;49967.00000000;19166.00000000;38.36000061
N;NORTE;2002-02-02;12311.00000000;8737.00000000;70.97000122
SE;SUDESTE;2002-02-02;165307.00000000;78990.00000000;47.77999878
S;SUL;2002-02-02;14645.00000000;13602.00000000;92.87999725
NE;NORDESTE;2002-02-03;49967.00000000;19591.00000000;39.20999908
N;NORTE;2002-02-03;12311.00000000;8763.00000000;71.18000031
SE;SUDESTE;2002-02-03;165307.00000000;79804.00000000;48.27999878
S;SUL;2002-02-03;14645.00000000;13655.00000000;93.23999786
NE;NORDESTE;2002-02-04;49967.00000000;19807.00000000;39.63999939
N;NORTE;2002-02-04;12311.00000000;8802.00000000;71.50000000
SE;SUDESTE;2002-02-04;165307.00000000;80530.00000000;48.72000122
S;SUL;2002-02-04;14645.00000000;13616.00000000;92.97000122
NE;NORDESTE;2002-02-05;49967.00000000;20209.00000000;40.45000076
N;NORTE;2002-02-05;12311.00000000;8820.00000000;71.63999939
SE;SUDESTE;2002-02-05;165307.00000000;80934.00000000;48.95999908
S;SUL;2002-02-05;14645.00000000;13584.00000000;92.75000000
NE;NORDESTE;2002-02-06;49967.00000000;20548.00000000;41.11999893
N;NORTE;2002-02-06;12311.00000000;8872.00000000;72.05999756
SE;SUDESTE;2002-02-06;165307.00000000;81276.00000000;49.16999817
S;SUL;2002-02-06;14645.00000000;13529.00000000;92.37999725
NE;NORDESTE;2002-02-07;49967.00000000;20824.00000000;41.68000031
N;NORTE;2002-02-07;12311.00000000;8911.00000000;72.37999725
SE;SUDESTE;2002-02-07;165307.00000000;82161.00000000;49.70000076
S;SUL;2002-02-07;14645.00000000;13519.00000000;92.30999756
NE;NORDESTE;2002-02-08;49967.00000000;21118.00000000;42.25999832
N;NORTE;2002-02-08;12311.00000000;8952.00000000;72.70999908
SE;SUDESTE;2002-02-08;165307.00000000;83221.00000000;50.34000015
S;SUL;2002-02-08;14645.00000000;13479.00000000;92.04000092
NE;NORDESTE;2002-02-09;49967.00000000;21430.00000000;42.88999939
N;NORTE;2002-02-09;12311.00000000;9049.00000000;73.50000000
SE;SUDESTE;2002-02-09;165307.00000000;84742.00000000;51.25999832
S;SUL;2002-02-09;14645.00000000;13480.00000000;92.04000092
NE;NORDESTE;2002-02-10;49967.00000000;21680.00000000;43.38999939
N;NORTE;2002-02-10;12311.00000000;9065.00000000;73.62999725
SE;SUDESTE;2002-02-10;165307.00000000;86198.00000000;52.13999939
S;SUL;2002-02-10;14645.00000000;13480.00000000;92.04000092
NE;NORDESTE;2002-02-11;49967.00000000;22010.00000000;44.04999924
N;NORTE;2002-02-11;12311.00000000;9078.00000000;73.73999786
SE;SUDESTE;2002-02-11;165307.00000000;87677.00000000;53.04000092
