id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2018-01-01;51602.07031250;6659.57519531;12.90559959
N;NORTE;2018-01-01;15164.88671875;3631.47094727;23.94659996
SE;SUDESTE;2018-01-01;202691.93750000;46399.62500000;22.89170074
S;SUL;2018-01-01;19415.96093750;11354.14160156;58.47840118
NE;NORDESTE;2018-01-02;51602.07031250;6857.42089844;13.28899956
N;NORTE;2018-01-02;15164.88671875;3619.91601563;23.87039948
SE;SUDESTE;2018-01-02;202691.93750000;47148.28906250;23.26110077
S;SUL;2018-01-02;19415.96093750;11566.77148438;59.57350159
NE;NORDESTE;2018-01-03;51602.07031250;6962.52392578;13.49269962
N;NORTE;2018-01-03;15164.88671875;3575.65405273;23.57850075
SE;SUDESTE;2018-01-03;202691.93750000;47760.64843750;23.56320000
S;SUL;2018-01-03;19415.96093750;11708.67871094;60.30440140
NE;NORDESTE;2018-01-04;51602.07031250;7064.15185547;13.68970013
N;NORTE;2018-01-04;15164.88671875;3535.22094727;23.31189919
SE;SUDESTE;2018-01-04;202691.93750000;48543.33593750;23.94930077
S;SUL;2018-01-04;19415.96093750;11820.33398438;60.87950134
NE;NORDESTE;2018-01-05;51602.07031250;7128.43798828;13.81420040
N;NORTE;2018-01-05;15164.88671875;3512.79394531;23.16399956
SE;SUDESTE;2018-01-05;202691.93750000;49402.78906250;24.37330055
S;SUL;2018-01-05;19415.96093750;11880.44140625;61.18899918
NE;NORDESTE;2018-01-06;51602.07031250;7193.61083984;13.94050026
N;NORTE;2018-01-06;15164.88671875;3522.55493164;23.22839928
SE;SUDESTE;2018-01-06;202691.93750000;50410.69531250;24.87059975
S;SUL;2018-01-06;19415.96093750;11970.06933594;61.65069962
NE;NORDESTE;2018-01-07;51602.07031250;7271.32324219;14.09109974
N;NORTE;2018-01-07;15164.88671875;3589.94604492;23.67280006
SE;SUDESTE;2018-01-07;202691.93750000;51547.09765625;25.43129921
S;SUL;2018-01-07;19415.96093750;12119.61425781;62.42089844
NE;NORDESTE;2018-01-08;51602.07031250;7384.30615234;14.31009960
N;NORTE;2018-01-08;15164.88671875;3636.89794922;23.98240089
SE;SUDESTE;2018-01-08;202691.93750000;52718.97265625;26.00939941
S;SUL;2018-01-08;19415.96093750;12153.49609375;62.59540176
NE;NORDESTE;2018-01-09;51602.07031250;7493.94677734;14.52260017
N;NORTE;2018-01-09;15164.88671875;3683.70190430;24.29100037
SE;SUDESTE;2018-01-09;202691.93750000;54020.21484375;26.65139961
S;SUL;2018-01-09;19415.96093750;12175.22558594;62.70729828
NE;NORDESTE;2018-01-10;51602.07031250;7606.39111328;14.74050045
N;NORTE;2018-01-10;15164.88671875;3715.52197266;24.50079918
SE;SUDESTE;2018-01-10;202691.93750000;55292.17578125;27.27890015
S;SUL;2018-01-10;19415.96093750;12169.03710938;62.67539978
NE;NORDESTE;2018-01-11;51602.07031250;7711.25292969;14.94369984
N;NORTE;2018-01-11;15164.88671875;3750.43994141;24.73110008
SE;SUDESTE;2018-01-11;202691.93750000;56298.46875000;27.77540016
S;SUL;2018-01-11;19415.96093750;12195.91503906;62.81389999
NE;NORDESTE;2018-01-12;51602.07031250;7817.16699219;15.14890003
N;NORTE;2018-01-12;15164.88671875;3785.61108398;24.96299934
SE;SUDESTE;2018-01-12;202691.93750000;57108.44921875;28.17499924
S;SUL;2018-01-12;19415.96093750;12239.77539063;63.03979874
NE;NORDESTE;2018-01-13;51602.07031250;7911.39990234;15.33160019
N;NORTE;2018-01-13;15164.88671875;3839.76293945;25.32010078
SE;SUDESTE;2018-01-13;202691.93750000;57822.48828125;28.52729988
S;SUL;2018-01-13;19415.96093750;12301.94140625;63.35990143
NE;NORDESTE;2018-01-14;51602.07031250;7972.48876953;15.44989967
N;NORTE;2018-01-14;15164.88671875;3948.64599609;26.03809929
SE;SUDESTE;2018-01-14;202691.93750000;58648.63671875;28.93490028
S;SUL;2018-01-14;19415.96093750;12442.30566406;64.08290100
NE;NORDESTE;2018-01-15;51602.07031250;8046.34619141;15.59309959
N;NORTE;2018-01-15;15164.88671875;4015.98193359;26.48209953
SE;SUDESTE;2018-01-15;202691.93750000;59149.61718750;29.18199921
S;SUL;2018-01-15;19415.96093750;12541.27929688;64.59259796
NE;NORDESTE;2018-01-16;51602.07031250;8113.80712891;15.72379971
N;NORTE;2018-01-16;15164.88671875;4088.90405273;26.96299934
SE;SUDESTE;2018-01-16;202691.93750000;59607.58593750;29.40800095
S;SUL;2018-01-16;19415.96093750;12667.96972656;65.24510193
NE;NORDESTE;2018-01-17;51602.07031250;8155.99218750;15.80560017
N;NORTE;2018-01-17;15164.88671875;4174.14794922;27.52510071
SE;SUDESTE;2018-01-17;202691.93750000;60004.70312500;29.60390091
S;SUL;2018-01-17;19415.96093750;12832.93554688;66.09480286
NE;NORDESTE;2018-01-18;51602.07031250;8194.42480469;15.88000011
N;NORTE;2018-01-18;15164.88671875;4224.72705078;27.85860062
SE;SUDESTE;2018-01-18;202691.93750000;60296.31640625;29.74780083
S;SUL;2018-01-18;19415.96093750;13027.34375000;67.09609985
NE;NORDESTE;2018-01-19;51602.07031250;8241.21875000;15.97070026
N;NORTE;2018-01-19;15164.88671875;4242.30712891;27.97450066
SE;SUDESTE;2018-01-19;202691.93750000;60447.86718750;29.82250023
S;SUL;2018-01-19;19415.96093750;13192.61328125;67.94730377
NE;NORDESTE;2018-01-20;51602.07031250;8287.42578125;16.06030083
N;NORTE;2018-01-20;15164.88671875;4247.92822266;28.01160049
SE;SUDESTE;2018-01-20;202691.93750000;60840.80468750;30.01639938
S;SUL;2018-01-20;19415.96093750;13348.82128906;68.75180054
NE;NORDESTE;2018-01-21;51602.07031250;8356.91796875;16.19490051
N;NORTE;2018-01-21;15164.88671875;4345.53320313;28.65519905
SE;SUDESTE;2018-01-21;202691.93750000;61162.92578125;30.17530060
S;SUL;2018-01-21;19415.96093750;13631.87109375;70.20960236
NE;NORDESTE;2018-01-22;51602.07031250;8434.76855469;16.34580040
N;NORTE;2018-01-22;15164.88671875;4402.82177734;29.03300095
SE;SUDESTE;2018-01-22;202691.93750000;61092.97656250;30.14080048
S;SUL;2018-01-22;19415.96093750;13859.44238281;71.38169861
NE;NORDESTE;2018-01-23;51602.07031250;8523.59375000;16.51790047
N;NORTE;2018-01-23;15164.88671875;4412.40917969;29.09620094
SE;SUDESTE;2018-01-23;202691.93750000;61180.48046875;30.18400002
S;SUL;2018-01-23;19415.96093750;14060.59375000;72.41770172
NE;NORDESTE;2018-01-24;51602.07031250;8618.91210938;16.70260048
N;NORTE;2018-01-24;15164.88671875;4426.89013672;29.19169998
SE;SUDESTE;2018-01-24;202691.93750000;61177.00781250;30.18230057
S;SUL;2018-01-24;19415.96093750;14276.91406250;73.53179932
NE;NORDESTE;2018-01-25;51602.07031250;8742.55371094;16.94230080
N;NORTE;2018-01-25;15164.88671875;4459.32812500;29.40559959
SE;SUDESTE;2018-01-25;202691.93750000;61277.61718750;30.23189926
S;SUL;2018-01-25;19415.96093750;14503.51757813;74.69889832
NE;NORDESTE;2018-01-26;51602.07031250;8765.79199219;16.98730087
N;NORTE;2018-01-26;15164.88671875;4492.47998047;29.62420082
SE;SUDESTE;2018-01-26;202691.93750000;61487.89843750;30.33559990
S;SUL;2018-01-26;19415.96093750;14746.02148438;75.94789886
NE;NORDESTE;2018-01-27;51602.07031250;8919.65234375;17.28549957
N;NORTE;2018-01-27;15164.88671875;4552.67187500;30.02109909
SE;SUDESTE;2018-01-27;202691.93750000;62011.99218750;30.59420013
S;SUL;2018-01-27;19415.96093750;15015.54003906;77.33609772
NE;NORDESTE;2018-01-28;51602.07031250;8958.25781250;17.36030006
N;NORTE;2018-01-28;15164.88671875;4646.39306641;30.63920021
SE;SUDESTE;2018-01-28;202691.93750000;62394.20312500;30.78280067
S;SUL;2018-01-28;19415.96093750;15326.33105469;78.93679810
NE;NORDESTE;2018-01-29;51602.07031250;8995.22070313;17.43190002
N;NORTE;2018-01-29;15164.88671875;4726.78808594;31.16930008
SE;SUDESTE;2018-01-29;202691.93750000;62437.57421875;30.80419922
S;SUL;2018-01-29;19415.96093750;15539.72753906;80.03579712
NE;NORDESTE;2018-01-30;51602.07031250;9039.83105469;17.51829910
N;NORTE;2018-01-30;15164.88671875;4812.08007813;31.73170090
SE;SUDESTE;2018-01-30;202691.93750000;62712.64453125;30.93989944
S;SUL;2018-01-30;19415.96093750;15716.31542969;80.94529724
NE;NORDESTE;2018-01-31;51602.07031250;9089.44921875;17.61450005
N;NORTE;2018-01-31;15164.88671875;4907.82519531;32.36309814
SE;SUDESTE;2018-01-31;202691.93750000;63104.61328125;31.13330078
S;SUL;2018-01-31;19415.96093750;15829.71582031;81.52940369
NE;NORDESTE;2018-02-01;51602.07031250;9117.53125000;17.66889954
N;NORTE;2018-02-01;15164.88671875;5001.99609375;32.98410034
SE;SUDESTE;2018-02-01;202691.93750000;63583.87500000;31.36969948
S;SUL;2018-02-01;19415.96093750;15886.33007813;81.82099915
NE;NORDESTE;2018-02-02;51602.07031250;9160.04394531;17.75130081
N;NORTE;2018-02-02;15164.88671875;5101.36523438;33.63930130
SE;SUDESTE;2018-02-02;202691.93750000;64063.73437500;31.60650063
S;SUL;2018-02-02;19415.96093750;15923.91210938;82.01450348
NE;NORDESTE;2018-02-03;51602.07031250;9216.78320313;17.86129951
N;NORTE;2018-02-03;15164.88671875;5218.64404297;34.41270065
SE;SUDESTE;2018-02-03;202691.93750000;64687.79687500;31.91430092
S;SUL;2018-02-03;19415.96093750;15974.75488281;82.27639771
NE;NORDESTE;2018-02-04;51602.07031250;9290.94140625;18.00499916
N;NORTE;2018-02-04;15164.88671875;5462.03076172;36.01760101
SE;SUDESTE;2018-02-04;202691.93750000;65457.19921875;32.29389954
S;SUL;2018-02-04;19415.96093750;16131.29101563;83.08260345
NE;NORDESTE;2018-02-05;51602.07031250;9417.55273438;18.25029945
N;NORTE;2018-02-05;15164.88671875;5715.60205078;37.68970108
SE;SUDESTE;2018-02-05;202691.93750000;66175.57031250;32.64830017
S;SUL;2018-02-05;19415.96093750;16125.42382813;83.05239868
NE;NORDESTE;2018-02-06;51602.07031250;9556.53417969;18.51969910
N;NORTE;2018-02-06;15164.88671875;5916.24707031;39.01279831
SE;SUDESTE;2018-02-06;202691.93750000;66738.85156250;32.92620087
S;SUL;2018-02-06;19415.96093750;16085.25000000;82.84549713
NE;NORDESTE;2018-02-07;51602.07031250;9657.72851563;18.71579933
N;NORTE;2018-02-07;15164.88671875;6113.54101563;40.31380081
SE;SUDESTE;2018-02-07;202691.93750000;67219.62500000;33.16339874
S;SUL;2018-02-07;19415.96093750;16031.79492188;82.57019806
NE;NORDESTE;2018-02-08;51602.07031250;9763.76269531;18.92130089
N;NORTE;2018-02-08;15164.88671875;6331.45800781;41.75080109
SE;SUDESTE;2018-02-08;202691.93750000;67631.32812500;33.36660004
S;SUL;2018-02-08;19415.96093750;15940.59960938;82.10050201
NE;NORDESTE;2018-02-09;51602.07031250;9866.41210938;19.12019920
N;NORTE;2018-02-09;15164.88671875;6591.07617188;43.46269989
