id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2000-01-01;49967.00000000;11171.00000000;22.36000061
N;NORTE;2000-01-01;12311.00000000;7656.00000000;62.18999863
SE;SUDESTE;2000-01-01;155759.00000000;27853.00000000;17.87999916
S;SUL;2000-01-01;13976.00000000;7094.00000000;50.75999832
NE;NORDESTE;2000-01-02;49967.00000000;11395.00000000;22.80999947
N;NORTE;2000-01-02;12311.00000000;7947.00000000;64.55000305
SE;SUDESTE;2000-01-02;155759.00000000;28671.00000000;18.40999985
S;SUL;2000-01-02;13976.00000000;7084.00000000;50.68999863
NE;NORDESTE;2000-01-03;49967.00000000;11523.00000000;23.05999947
N;NORTE;2000-01-03;12311.00000000;8369.00000000;67.98000336
SE;SUDESTE;2000-01-03;155759.00000000;30000.00000000;19.26000023
S;SUL;2000-01-03;13976.00000000;7016.00000000;50.20000076
NE;NORDESTE;2000-01-04;49967.00000000;11754.00000000;23.52000046
N;NORTE;2000-01-04;12311.00000000;8735.00000000;70.94999695
SE;SUDESTE;2000-01-04;155759.00000000;31898.00000000;20.47999954
S;SUL;2000-01-04;13976.00000000;6980.00000000;49.93999863
NE;NORDESTE;2000-01-05;49967.00000000;12032.00000000;24.07999992
N;NORTE;2000-01-05;12311.00000000;9099.00000000;73.91000366
SE;SUDESTE;2000-01-05;155759.00000000;33627.00000000;21.59000015
S;SUL;2000-01-05;13976.00000000;6946.00000000;49.70000076
NE;NORDESTE;2000-01-06;49967.00000000;12219.00000000;24.45000076
N;NORTE;2000-01-06;12311.00000000;9440.00000000;76.68000031
SE;SUDESTE;2000-01-06;155759.00000000;35061.00000000;22.51000023
S;SUL;2000-01-06;13976.00000000;6914.00000000;49.47000122
NE;NORDESTE;2000-01-07;49967.00000000;12496.00000000;25.01000023
N;NORTE;2000-01-07;12311.00000000;9741.00000000;79.12000275
SE;SUDESTE;2000-01-07;155759.00000000;36281.00000000;23.29000092
S;SUL;2000-01-07;13976.00000000;6868.00000000;49.13999939
NE;NORDESTE;2000-01-08;49967.00000000;12805.00000000;25.62999916
N;NORTE;2000-01-08;12311.00000000;10061.00000000;81.72000122
SE;SUDESTE;2000-01-08;155759.00000000;37631.00000000;24.15999985
S;SUL;2000-01-08;13976.00000000;6832.00000000;48.88999939
