id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2006-01-01;50757.00000000;34515.00000000;68.00000000
N;NORTE;2006-01-01;12311.00000000;6022.00000000;48.90999985
SE;SUDESTE;2006-01-01;178078.00000000;119793.00000000;67.26999664
S;SUL;2006-01-01;15674.00000000;12967.00000000;82.73000336
NE;NORDESTE;2006-01-02;50757.00000000;34730.00000000;68.41999817
N;NORTE;2006-01-02;12311.00000000;6106.00000000;49.59999847
SE;SUDESTE;2006-01-02;178078.00000000;120149.00000000;67.47000122
S;SUL;2006-01-02;15674.00000000;12936.00000000;82.52999878
NE;NORDESTE;2006-01-03;50757.00000000;34942.00000000;68.83999634
N;NORTE;2006-01-03;12311.00000000;6214.00000000;50.47000122
SE;SUDESTE;2006-01-03;178078.00000000;120788.00000000;67.83000183
S;SUL;2006-01-03;15674.00000000;12906.00000000;82.33999634
NE;NORDESTE;2006-01-04;50757.00000000;35093.00000000;69.13999939
N;NORTE;2006-01-04;12311.00000000;6322.00000000;51.34999847
SE;SUDESTE;2006-01-04;178078.00000000;121768.00000000;68.37999725
S;SUL;2006-01-04;15674.00000000;12881.00000000;82.18000031
NE;NORDESTE;2006-01-05;50757.00000000;35349.00000000;69.63999939
N;NORTE;2006-01-05;12311.00000000;6417.00000000;52.11999893
SE;SUDESTE;2006-01-05;178078.00000000;123212.00000000;69.19000244
S;SUL;2006-01-05;15674.00000000;12848.00000000;81.97000122
NE;NORDESTE;2006-01-06;50757.00000000;35845.00000000;70.62000275
N;NORTE;2006-01-06;12311.00000000;6526.00000000;53.00999832
SE;SUDESTE;2006-01-06;178078.00000000;124332.00000000;69.81999969
S;SUL;2006-01-06;15674.00000000;12814.00000000;81.75000000
NE;NORDESTE;2006-01-07;50757.00000000;36132.00000000;71.19000244
N;NORTE;2006-01-07;12311.00000000;6703.00000000;54.45000076
SE;SUDESTE;2006-01-07;178078.00000000;125173.00000000;70.29000092
S;SUL;2006-01-07;15674.00000000;12810.00000000;81.73000336
NE;NORDESTE;2006-01-08;50757.00000000;36394.00000000;71.69999695
N;NORTE;2006-01-08;12311.00000000;6875.00000000;55.84000015
SE;SUDESTE;2006-01-08;178078.00000000;126143.00000000;70.83999634
S;SUL;2006-01-08;15674.00000000;12810.00000000;81.73000336
NE;NORDESTE;2006-01-09;50757.00000000;36777.00000000;72.45999908
N;NORTE;2006-01-09;12311.00000000;7039.00000000;57.18000031
SE;SUDESTE;2006-01-09;178078.00000000;126842.00000000;71.23000336
