id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2012-01-01;51809.00000000;30145.00000000;58.18999863
N;NORTE;2012-01-01;12415.00000000;6623.00000000;53.34999847
SE;SUDESTE;2012-01-01;200166.00000000;122452.00000000;61.18000031
S;SUL;2012-01-01;19735.00000000;11203.00000000;56.77000046
NE;NORDESTE;2012-01-02;51809.00000000;30492.00000000;58.84999847
N;NORTE;2012-01-02;12415.00000000;6658.00000000;53.63000107
SE;SUDESTE;2012-01-02;200166.00000000;123667.00000000;61.77999878
S;SUL;2012-01-02;19735.00000000;11199.00000000;56.75000000
NE;NORDESTE;2012-01-03;51809.00000000;30906.00000000;59.65000153
N;NORTE;2012-01-03;12415.00000000;6701.00000000;53.97999954
SE;SUDESTE;2012-01-03;200166.00000000;125081.00000000;62.49000168
S;SUL;2012-01-03;19735.00000000;11178.00000000;56.63999939
NE;NORDESTE;2012-01-04;51809.00000000;31441.00000000;60.68999863
N;NORTE;2012-01-04;12415.00000000;6749.00000000;54.36000061
SE;SUDESTE;2012-01-04;200166.00000000;126521.00000000;63.20999908
S;SUL;2012-01-04;19735.00000000;11133.00000000;56.40999985
NE;NORDESTE;2012-01-05;51809.00000000;31378.00000000;60.56999969
N;NORTE;2012-01-05;12415.00000000;6745.00000000;54.33000183
SE;SUDESTE;2012-01-05;200166.00000000;127557.00000000;63.72999954
S;SUL;2012-01-05;19735.00000000;11075.00000000;56.11999893
NE;NORDESTE;2012-01-06;51809.00000000;31655.00000000;61.09999847
N;NORTE;2012-01-06;12415.00000000;6750.00000000;54.36999893
SE;SUDESTE;2012-01-06;200166.00000000;128435.00000000;64.16000366
S;SUL;2012-01-06;19735.00000000;11018.00000000;55.83000183
NE;NORDESTE;2012-01-07;51809.00000000;32029.00000000;61.81999969
N;NORTE;2012-01-07;12415.00000000;6794.00000000;54.72999954
SE;SUDESTE;2012-01-07;200166.00000000;129496.00000000;64.69000244
S;SUL;2012-01-07;19735.00000000;11015.00000000;55.81999969
NE;NORDESTE;2012-01-08;51809.00000000;32335.00000000;62.40999985
N;NORTE;2012-01-08;12415.00000000;6849.00000000;55.16999817
SE;SUDESTE;2012-01-08;200166.00000000;130772.00000000;65.33000183
S;SUL;2012-01-08;19735.00000000;11027.00000000;55.88000107
NE;NORDESTE;2012-01-09;51809.00000000;32665.00000000;63.04999924
N;NORTE;2012-01-09;12415.00000000;6936.00000000;55.86999893
SE;SUDESTE;2012-01-09;200166.00000000;131909.00000000;65.90000153
S;SUL;2012-01-09;19735.00000000;10952.00000000;55.50000000
NE;NORDESTE;2012-01-10;51809.00000000;32810.00000000;63.33000183
N;NORTE;2012-01-10;12415.00000000;7116.00000000;57.31999969
SE;SUDESTE;2012-01-10;200166.00000000;133341.00000000;66.62000275
S;SUL;2012-01-10;19735.00000000;10881.00000000;55.13999939
NE;NORDESTE;2012-01-11;51809.00000000;33017.00000000;63.72999954
N;NORTE;2012-01-11;12415.00000000;7305.00000000;58.84000015
SE;SUDESTE;2012-01-11;200166.00000000;134959.00000000;67.41999817
S;SUL;2012-01-11;19735.00000000;10805.00000000;54.75000000
NE;NORDESTE;2012-01-12;51809.00000000;33165.00000000;64.01000214
N;NORTE;2012-01-12;12415.00000000;7427.00000000;59.81999969
SE;SUDESTE;2012-01-12;200166.00000000;136433.00000000;68.16000366
S;SUL;2012-01-12;19735.00000000;10724.00000000;54.34000015
NE;NORDESTE;2012-01-13;51809.00000000;33245.00000000;64.16999817
N;NORTE;2012-01-13;12415.00000000;7549.00000000;60.81000137
SE;SUDESTE;2012-01-13;200166.00000000;137678.00000000;68.77999878
S;SUL;2012-01-13;19735.00000000;10699.00000000;54.20999908
NE;NORDESTE;2012-01-14;51809.00000000;33458.00000000;64.58000183
N;NORTE;2012-01-14;12415.00000000;7713.00000000;62.13000107
SE;SUDESTE;2012-01-14;200166.00000000;138719.00000000;69.30000305
S;SUL;2012-01-14;19735.00000000;11010.00000000;55.79000092
