id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2007-01-01;51766.00000000;32556.00000000;62.88999939
N;NORTE;2007-01-01;12415.00000000;4509.00000000;36.31999969
SE;SUDESTE;2007-01-01;187595.00000000;102089.00000000;54.41999817
S;SUL;2007-01-01;18394.00000000;10257.00000000;55.75999832
NE;NORDESTE;2007-01-02;51766.00000000;32727.00000000;63.22000122
N;NORTE;2007-01-02;12415.00000000;4518.00000000;36.38999939
SE;SUDESTE;2007-01-02;187595.00000000;103516.00000000;55.18000031
S;SUL;2007-01-02;18394.00000000;10286.00000000;55.91999817
NE;NORDESTE;2007-01-03;51766.00000000;32749.00000000;63.25999832
N;NORTE;2007-01-03;12415.00000000;4537.00000000;36.54999924
SE;SUDESTE;2007-01-03;187595.00000000;105066.00000000;56.00999832
S;SUL;2007-01-03;18394.00000000;10333.00000000;56.18000031
NE;NORDESTE;2007-01-04;51766.00000000;33123.00000000;63.99000168
N;NORTE;2007-01-04;12415.00000000;4561.00000000;36.74000168
SE;SUDESTE;2007-01-04;187595.00000000;106831.00000000;56.95000076
S;SUL;2007-01-04;18394.00000000;10403.00000000;56.56000137
NE;NORDESTE;2007-01-05;51766.00000000;33450.00000000;64.62000275
N;NORTE;2007-01-05;12415.00000000;4596.00000000;37.02000046
SE;SUDESTE;2007-01-05;187595.00000000;108892.00000000;58.04999924
S;SUL;2007-01-05;18394.00000000;10485.00000000;57.00000000
NE;NORDESTE;2007-01-06;51766.00000000;33729.00000000;65.16000366
N;NORTE;2007-01-06;12415.00000000;4681.00000000;37.70999908
SE;SUDESTE;2007-01-06;187595.00000000;111149.00000000;59.25000000
S;SUL;2007-01-06;18394.00000000;10606.00000000;57.65999985
NE;NORDESTE;2007-01-07;51766.00000000;34010.00000000;65.69999695
N;NORTE;2007-01-07;12415.00000000;4753.00000000;38.29000092
SE;SUDESTE;2007-01-07;187595.00000000;113424.00000000;60.45999908
S;SUL;2007-01-07;18394.00000000;10735.00000000;58.36000061
NE;NORDESTE;2007-01-08;51766.00000000;34197.00000000;66.05999756
N;NORTE;2007-01-08;12415.00000000;4790.00000000;38.58000183
SE;SUDESTE;2007-01-08;187595.00000000;115308.00000000;61.47000122
S;SUL;2007-01-08;18394.00000000;10823.00000000;58.84000015
NE;NORDESTE;2007-01-09;51766.00000000;34228.00000000;66.12000275
N;NORTE;2007-01-09;12415.00000000;4837.00000000;38.95999908
SE;SUDESTE;2007-01-09;187595.00000000;116778.00000000;62.25000000
S;SUL;2007-01-09;18394.00000000;10878.00000000;59.13999939
NE;NORDESTE;2007-01-10;51766.00000000;34567.00000000;66.77999878
N;NORTE;2007-01-10;12415.00000000;4869.00000000;39.22000122
SE;SUDESTE;2007-01-10;187595.00000000;117934.00000000;62.86999893
S;SUL;2007-01-10;18394.00000000;10905.00000000;59.29000092
NE;NORDESTE;2007-01-11;51766.00000000;34983.00000000;67.58000183
N;NORTE;2007-01-11;12415.00000000;4868.00000000;39.20999908
SE;SUDESTE;2007-01-11;187595.00000000;119023.00000000;63.45000076
S;SUL;2007-01-11;18394.00000000;10984.00000000;59.72000122
NE;NORDESTE;2007-01-12;51766.00000000;35138.00000000;67.87999725
N;NORTE;2007-01-12;12415.00000000;4885.00000000;39.34999847
SE;SUDESTE;2007-01-12;187595.00000000;120197.00000000;64.06999969
S;SUL;2007-01-12;18394.00000000;11033.00000000;59.97999954
NE;NORDESTE;2007-01-13;51766.00000000;35632.00000000;68.83000183
N;NORTE;2007-01-13;12415.00000000;4930.00000000;39.70999908
SE;SUDESTE;2007-01-13;187595.00000000;121724.00000000;64.88999939
S;SUL;2007-01-13;18394.00000000;11124.00000000;60.47999954
NE;NORDESTE;2007-01-14;51766.00000000;35942.00000000;69.43000031
N;NORTE;2007-01-14;12415.00000000;4995.00000000;40.22999954
SE;SUDESTE;2007-01-14;187595.00000000;123644.00000000;65.91000366
