id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2014-01-01;51809.00000000;17601.00000000;33.97000122
N;NORTE;2014-01-01;15041.00000000;7115.00000000;47.29999924
SE;SUDESTE;2014-01-01;200625.00000000;86505.00000000;43.11999893
S;SUL;2014-01-01;20100.00000000;11592.00000000;57.66999817
NE;NORDESTE;2014-01-02;51809.00000000;17854.00000000;34.45999908
N;NORTE;2014-01-02;15041.00000000;7253.00000000;48.22000122
SE;SUDESTE;2014-01-02;200625.00000000;86436.00000000;43.08000183
S;SUL;2014-01-02;20100.00000000;11563.00000000;57.52999878
NE;NORDESTE;2014-01-03;51809.00000000;18067.00000000;34.86999893
N;NORTE;2014-01-03;15041.00000000;7350.00000000;48.86999893
SE;SUDESTE;2014-01-03;200625.00000000;86243.00000000;42.99000168
S;SUL;2014-01-03;20100.00000000;11635.00000000;57.88999939
NE;NORDESTE;2014-01-04;51809.00000000;18351.00000000;35.41999817
N;NORTE;2014-01-04;15041.00000000;7459.00000000;49.59000015
SE;SUDESTE;2014-01-04;200625.00000000;86210.00000000;42.97000122
S;SUL;2014-01-04;20100.00000000;11724.00000000;58.33000183
NE;NORDESTE;2014-01-05;51809.00000000;18633.00000000;35.95999908
N;NORTE;2014-01-05;15041.00000000;7590.00000000;50.45999908
SE;SUDESTE;2014-01-05;200625.00000000;86237.00000000;42.97999954
S;SUL;2014-01-05;20100.00000000;11870.00000000;59.06000137
NE;NORDESTE;2014-01-06;51809.00000000;18857.00000000;36.40000153
N;NORTE;2014-01-06;15041.00000000;7669.00000000;50.99000168
SE;SUDESTE;2014-01-06;200625.00000000;86008.00000000;42.86999893
S;SUL;2014-01-06;20100.00000000;11897.00000000;59.18999863
NE;NORDESTE;2014-01-07;51809.00000000;19056.00000000;36.77999878
N;NORTE;2014-01-07;15041.00000000;7706.00000000;51.22999954
SE;SUDESTE;2014-01-07;200625.00000000;85764.00000000;42.75000000
S;SUL;2014-01-07;20100.00000000;11899.00000000;59.20000076
NE;NORDESTE;2014-01-08;51809.00000000;19283.00000000;37.22000122
N;NORTE;2014-01-08;15041.00000000;7741.00000000;51.47000122
SE;SUDESTE;2014-01-08;200625.00000000;85466.00000000;42.59999847
S;SUL;2014-01-08;20100.00000000;11859.00000000;59.00000000
NE;NORDESTE;2014-01-09;51809.00000000;19735.00000000;38.09000015
N;NORTE;2014-01-09;15041.00000000;7773.00000000;51.68000031
SE;SUDESTE;2014-01-09;200625.00000000;85108.00000000;42.41999817
S;SUL;2014-01-09;20100.00000000;11801.00000000;58.70999908
NE;NORDESTE;2014-01-10;51809.00000000;19969.00000000;38.54000092
N;NORTE;2014-01-10;15041.00000000;7812.00000000;51.93999863
SE;SUDESTE;2014-01-10;200625.00000000;84686.00000000;42.20999908
