id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2009-01-01;51766.00000000;23478.00000000;45.34999847
N;NORTE;2009-01-01;12415.00000000;4420.00000000;35.59999847
SE;SUDESTE;2009-01-01;189205.00000000;106311.00000000;56.18999863
S;SUL;2009-01-01;18599.00000000;13818.00000000;74.30000305
NE;NORDESTE;2009-01-02;51766.00000000;23788.00000000;45.95000076
N;NORTE;2009-01-02;12415.00000000;4477.00000000;36.06000137
SE;SUDESTE;2009-01-02;189205.00000000;106953.00000000;56.52999878
S;SUL;2009-01-02;18599.00000000;13736.00000000;73.84999847
NE;NORDESTE;2009-01-03;51766.00000000;24073.00000000;46.50000000
N;NORTE;2009-01-03;12415.00000000;4512.00000000;36.34000015
SE;SUDESTE;2009-01-03;189205.00000000;107687.00000000;56.91999817
S;SUL;2009-01-03;18599.00000000;13682.00000000;73.55999756
NE;NORDESTE;2009-01-04;51766.00000000;24488.00000000;47.31000137
N;NORTE;2009-01-04;12415.00000000;4555.00000000;36.68999863
SE;SUDESTE;2009-01-04;189205.00000000;108460.00000000;57.31999969
S;SUL;2009-01-04;18599.00000000;13737.00000000;73.86000061
NE;NORDESTE;2009-01-05;51766.00000000;24663.00000000;47.63999939
N;NORTE;2009-01-05;12415.00000000;4606.00000000;37.09999847
SE;SUDESTE;2009-01-05;189205.00000000;109033.00000000;57.63000107
S;SUL;2009-01-05;18599.00000000;13684.00000000;73.56999969
NE;NORDESTE;2009-01-06;51766.00000000;24961.00000000;48.22000122
N;NORTE;2009-01-06;12415.00000000;4625.00000000;37.25000000
SE;SUDESTE;2009-01-06;189205.00000000;109644.00000000;57.95000076
S;SUL;2009-01-06;18599.00000000;13578.00000000;73.00000000
NE;NORDESTE;2009-01-07;51766.00000000;25378.00000000;49.02000046
N;NORTE;2009-01-07;12415.00000000;4657.00000000;37.50999832
SE;SUDESTE;2009-01-07;189205.00000000;110072.00000000;58.18000031
S;SUL;2009-01-07;18599.00000000;13446.00000000;72.30000305
NE;NORDESTE;2009-01-08;51766.00000000;25665.00000000;49.58000183
N;NORTE;2009-01-08;12415.00000000;4674.00000000;37.65000153
SE;SUDESTE;2009-01-08;189205.00000000;110288.00000000;58.29000092
S;SUL;2009-01-08;18599.00000000;13312.00000000;71.56999969
NE;NORDESTE;2009-01-09;51766.00000000;25823.00000000;49.88000107
N;NORTE;2009-01-09;12415.00000000;4711.00000000;37.95000076
SE;SUDESTE;2009-01-09;189205.00000000;110508.00000000;58.40999985
S;SUL;2009-01-09;18599.00000000;13181.00000000;70.87000275
NE;NORDESTE;2009-01-10;51766.00000000;26146.00000000;50.50999832
N;NORTE;2009-01-10;12415.00000000;4720.00000000;38.02000046
SE;SUDESTE;2009-01-10;189205.00000000;110912.00000000;58.61999893
S;SUL;2009-01-10;18599.00000000;13070.00000000;70.26999664
NE;NORDESTE;2009-01-11;51766.00000000;26375.00000000;50.95000076
N;NORTE;2009-01-11;12415.00000000;4736.00000000;38.15000153
SE;SUDESTE;2009-01-11;189205.00000000;111229.00000000;58.79000092
S;SUL;2009-01-11;18599.00000000;13025.00000000;70.02999878
NE;NORDESTE;2009-01-12;51766.00000000;26538.00000000;51.27000046
N;NORTE;2009-01-12;12415.00000000;4746.00000000;38.22999954
SE;SUDESTE;2009-01-12;189205.00000000;111289.00000000;58.81999969
S;SUL;2009-01-12;18599.00000000;12876.00000000;69.23000336
NE;NORDESTE;2009-01-13;51766.00000000;26905.00000000;51.97000122
N;NORTE;2009-01-13;12415.00000000;4727.00000000;38.08000183
SE;SUDESTE;2009-01-13;189205.00000000;111149.00000000;58.75000000
S;SUL;2009-01-13;18599.00000000;12728.00000000;68.43000031
NE;NORDESTE;2009-01-14;51766.00000000;27059.00000000;52.27000046
N;NORTE;2009-01-14;12415.00000000;4720.00000000;38.02000046
SE;SUDESTE;2009-01-14;189205.00000000;111069.00000000;58.70000076
S;SUL;2009-01-14;18599.00000000;12567.00000000;67.56999969
NE;NORDESTE;2009-01-15;51766.00000000;27329.00000000;52.79000092
N;NORTE;2009-01-15;12415.00000000;4735.00000000;38.13999939
SE;SUDESTE;2009-01-15;189205.00000000;111202.00000000;58.77000046
S;SUL;2009-01-15;18599.00000000;12408.00000000;66.70999908
NE;NORDESTE;2009-01-16;51766.00000000;27355.00000000;52.84000015
N;NORTE;2009-01-16;12415.00000000;4736.00000000;38.15000153
SE;SUDESTE;2009-01-16;189205.00000000;111368.00000000;58.86000061
S;SUL;2009-01-16;18599.00000000;12258.00000000;65.91000366
NE;NORDESTE;2009-01-17;51766.00000000;27854.00000000;53.81000137
N;NORTE;2009-01-17;12415.00000000;4740.00000000;38.18000031
SE;SUDESTE;2009-01-17;189205.00000000;111892.00000000;59.13999939
S;SUL;2009-01-17;18599.00000000;12157.00000000;65.36000061
NE;NORDESTE;2009-01-18;51766.00000000;28283.00000000;54.63999939
N;NORTE;2009-01-18;12415.00000000;4760.00000000;38.34000015
SE;SUDESTE;2009-01-18;189205.00000000;112553.00000000;59.49000168
S;SUL;2009-01-18;18599.00000000;12163.00000000;65.40000153
NE;NORDESTE;2009-01-19;51766.00000000;28407.00000000;54.88000107
N;NORTE;2009-01-19;12415.00000000;4736.00000000;38.15000153
SE;SUDESTE;2009-01-19;189205.00000000;113040.00000000;59.74000168
S;SUL;2009-01-19;18599.00000000;12076.00000000;64.93000031
NE;NORDESTE;2009-01-20;51766.00000000;28884.00000000;55.79999924
N;NORTE;2009-01-20;12415.00000000;4768.00000000;38.40999985
SE;SUDESTE;2009-01-20;189205.00000000;113554.00000000;60.02000046
S;SUL;2009-01-20;18599.00000000;12012.00000000;64.58000183
NE;NORDESTE;2009-01-21;51766.00000000;29227.00000000;56.45999908
N;NORTE;2009-01-21;12415.00000000;4834.00000000;38.93999863
SE;SUDESTE;2009-01-21;189205.00000000;114494.00000000;60.50999832
S;SUL;2009-01-21;18599.00000000;11947.00000000;64.23999786
