id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2005-01-01;50757.00000000;30061.00000000;59.22999954
N;NORTE;2005-01-01;12311.00000000;3969.00000000;32.24000168
SE;SUDESTE;2005-01-01;177852.00000000;115210.00000000;64.77999878
S;SUL;2005-01-01;15386.00000000;11386.00000000;74.00000000
NE;NORDESTE;2005-01-02;50757.00000000;30262.00000000;59.61999893
N;NORTE;2005-01-02;12311.00000000;4019.00000000;32.63999939
SE;SUDESTE;2005-01-02;177852.00000000;115431.00000000;64.90000153
S;SUL;2005-01-02;15386.00000000;11334.00000000;73.66999817
NE;NORDESTE;2005-01-03;50757.00000000;30419.00000000;59.93000031
N;NORTE;2005-01-03;12311.00000000;4044.00000000;32.84999847
SE;SUDESTE;2005-01-03;177852.00000000;115565.00000000;64.98000336
S;SUL;2005-01-03;15386.00000000;11263.00000000;73.19999695
NE;NORDESTE;2005-01-04;50757.00000000;30697.00000000;60.47999954
N;NORTE;2005-01-04;12311.00000000;4081.00000000;33.15000153
SE;SUDESTE;2005-01-04;177852.00000000;116035.00000000;65.23999786
S;SUL;2005-01-04;15386.00000000;11182.00000000;72.68000031
NE;NORDESTE;2005-01-05;50757.00000000;31071.00000000;61.22000122
N;NORTE;2005-01-05;12311.00000000;4109.00000000;33.38000107
SE;SUDESTE;2005-01-05;177852.00000000;116639.00000000;65.58000183
S;SUL;2005-01-05;15386.00000000;11088.00000000;72.06999969
NE;NORDESTE;2005-01-06;50757.00000000;31300.00000000;61.66999817
N;NORTE;2005-01-06;12311.00000000;4156.00000000;33.75999832
SE;SUDESTE;2005-01-06;177852.00000000;117319.00000000;65.95999908
S;SUL;2005-01-06;15386.00000000;11012.00000000;71.56999969
NE;NORDESTE;2005-01-07;50757.00000000;31652.00000000;62.36000061
N;NORTE;2005-01-07;12311.00000000;4172.00000000;33.88999939
SE;SUDESTE;2005-01-07;177852.00000000;117765.00000000;66.22000122
S;SUL;2005-01-07;15386.00000000;10932.00000000;71.05000305
