id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2023-01-01;51691.22656250;34991.32812500;67.69300079
N;NORTE;2023-01-01;15302.39648438;9439.17382813;61.68429947
SE;SUDESTE;2023-01-01;204615.32812500;109622.71875000;53.57500076
S;SUL;2023-01-01;20459.24218750;17249.42187500;84.31109619
NE;NORDESTE;2023-01-02;51691.22656250;35361.76953125;68.40959930
N;NORTE;2023-01-02;15302.39648438;9626.93261719;62.91130066
SE;SUDESTE;2023-01-02;204615.32812500;110620.89062500;54.06290054
S;SUL;2023-01-02;20459.24218750;17263.74414063;84.38120270
NE;NORDESTE;2023-01-03;51691.22656250;35738.15625000;69.13780212
N;NORTE;2023-01-03;15302.39648438;9785.04394531;63.94449997
SE;SUDESTE;2023-01-03;204615.32812500;111637.39062500;54.55960083
S;SUL;2023-01-03;20459.24218750;17261.24804688;84.36900330
NE;NORDESTE;2023-01-04;51691.22656250;36123.25390625;69.88279724
N;NORTE;2023-01-04;15302.39648438;9932.75097656;64.90979767
SE;SUDESTE;2023-01-04;204615.32812500;112729.30468750;55.09329987
S;SUL;2023-01-04;20459.24218750;17328.91015625;84.69969940
NE;NORDESTE;2023-01-05;51691.22656250;36478.98046875;70.57089996
N;NORTE;2023-01-05;15302.39648438;10095.15429688;65.97109985
SE;SUDESTE;2023-01-05;204615.32812500;113854.24218750;55.64310074
S;SUL;2023-01-05;20459.24218750;17417.55664063;85.13300323
NE;NORDESTE;2023-01-06;51691.22656250;36876.89062500;71.34069824
N;NORTE;2023-01-06;15302.39648438;10295.08789063;67.27760315
SE;SUDESTE;2023-01-06;204615.32812500;115576.76562500;56.48490143
S;SUL;2023-01-06;20459.24218750;17431.28125000;85.19999695
NE;NORDESTE;2023-01-07;51691.22656250;37298.16796875;72.15570068
N;NORTE;2023-01-07;15302.39648438;10534.08203125;68.83940125
SE;SUDESTE;2023-01-07;204615.32812500;117415.71875000;57.38359833
S;SUL;2023-01-07;20459.24218750;17469.26562500;85.38569641
NE;NORDESTE;2023-01-08;51691.22656250;37752.11718750;73.03389740
N;NORTE;2023-01-08;15302.39648438;10775.54980469;70.41739655
SE;SUDESTE;2023-01-08;204615.32812500;119507.53906250;58.40599823
S;SUL;2023-01-08;20459.24218750;17435.18164063;85.21910095
NE;NORDESTE;2023-01-09;51691.22656250;38076.24218750;73.66089630
N;NORTE;2023-01-09;15302.39648438;10980.92187500;71.75949860
SE;SUDESTE;2023-01-09;204615.32812500;121351.59375000;59.30720139
S;SUL;2023-01-09;20459.24218750;17420.38867188;85.14679718
NE;NORDESTE;2023-01-10;51691.22656250;38282.62109375;74.06020355
N;NORTE;2023-01-10;15302.39648438;11217.91503906;73.30819702
SE;SUDESTE;2023-01-10;204615.32812500;123191.52343750;60.20640182
S;SUL;2023-01-10;20459.24218750;17374.10351563;84.92060089
NE;NORDESTE;2023-01-11;51691.22656250;38410.43359375;74.30750275
N;NORTE;2023-01-11;15302.39648438;11407.92968750;74.55000305
SE;SUDESTE;2023-01-11;204615.32812500;124785.95312500;60.98559952
S;SUL;2023-01-11;20459.24218750;17332.06835938;84.71510315
NE;NORDESTE;2023-01-12;51691.22656250;38531.70703125;74.54209900
N;NORTE;2023-01-12;15302.39648438;11593.19824219;75.76069641
SE;SUDESTE;2023-01-12;204615.32812500;126471.10937500;61.80920029
S;SUL;2023-01-12;20459.24218750;17291.82421875;84.51840210
NE;NORDESTE;2023-01-13;51691.22656250;38577.08593750;74.62989807
N;NORTE;2023-01-13;15302.39648438;11805.04785156;77.14510345
SE;SUDESTE;2023-01-13;204615.32812500;128052.57031250;62.58209991
S;SUL;2023-01-13;20459.24218750;17289.09570313;84.50509644
NE;NORDESTE;2023-01-14;51691.22656250;38560.30078125;74.59739685
N;NORTE;2023-01-14;15302.39648438;12055.89843750;78.78440094
SE;SUDESTE;2023-01-14;204615.32812500;129549.51562500;63.31370163
S;SUL;2023-01-14;20459.24218750;17345.47265625;84.78060150
NE;NORDESTE;2023-01-15;51691.22656250;38556.84765625;74.59069824
N;NORTE;2023-01-15;15302.39648438;12306.62207031;80.42279816
SE;SUDESTE;2023-01-15;204615.32812500;130914.50781250;63.98080063
S;SUL;2023-01-15;20459.24218750;17383.69726563;84.96749878
NE;NORDESTE;2023-01-16;51691.22656250;38501.53906250;74.48370361
N;NORTE;2023-01-16;15302.39648438;12540.14843750;81.94889832
SE;SUDESTE;2023-01-16;204615.32812500;131903.53125000;64.46420288
S;SUL;2023-01-16;20459.24218750;17413.99218750;85.11550140
NE;NORDESTE;2023-01-17;51691.22656250;38446.00390625;74.37629700
N;NORTE;2023-01-17;15302.39648438;12756.33886719;83.36170197
SE;SUDESTE;2023-01-17;204615.32812500;132545.29687500;64.77780151
S;SUL;2023-01-17;20459.24218750;17502.96484375;85.55039978
NE;NORDESTE;2023-01-18;51691.22656250;38383.18359375;74.25469971
N;NORTE;2023-01-18;15302.39648438;12883.24414063;84.19100189
SE;SUDESTE;2023-01-18;204615.32812500;133154.29687500;65.07540131
