id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2022-01-01;51691.22656250;27581.79687500;53.35879898
N;NORTE;2022-01-01;15302.39648438;8833.57128906;57.72669983
SE;SUDESTE;2022-01-01;204560.84375000;53623.63281250;26.21400070
S;SUL;2022-01-01;19657.33007813;8417.17773438;42.81949997
NE;NORDESTE;2022-01-02;51691.22656250;28110.95117188;54.38240051
N;NORTE;2022-01-02;15302.39648438;9285.11523438;60.67750168
SE;SUDESTE;2022-01-02;204560.84375000;54849.19140625;26.81310081
S;SUL;2022-01-02;19657.33007813;8398.68457031;42.72549820
NE;NORDESTE;2022-01-03;51691.22656250;28704.43750000;55.53060150
N;NORTE;2022-01-03;15302.39648438;9672.39257813;63.20840073
SE;SUDESTE;2022-01-03;204560.84375000;55857.98828125;27.30629921
S;SUL;2022-01-03;19657.33007813;8319.45800781;42.32239914
NE;NORDESTE;2022-01-04;51691.22656250;29216.30859375;56.52080154
N;NORTE;2022-01-04;15302.39648438;10058.49218750;65.73149872
SE;SUDESTE;2022-01-04;204560.84375000;57049.34765625;27.88870049
S;SUL;2022-01-04;19657.33007813;8261.81054688;42.02920151
NE;NORDESTE;2022-01-05;51691.22656250;29728.90234375;57.51250076
N;NORTE;2022-01-05;15302.39648438;10396.53906250;67.94059753
SE;SUDESTE;2022-01-05;204560.84375000;58333.23046875;28.51630020
S;SUL;2022-01-05;19657.33007813;8220.09667969;41.81700134
NE;NORDESTE;2022-01-06;51691.22656250;30164.51171875;58.35520172
N;NORTE;2022-01-06;15302.39648438;10652.65332031;69.61430359
SE;SUDESTE;2022-01-06;204560.84375000;59548.68750000;29.11050034
S;SUL;2022-01-06;19657.33007813;8170.85986328;41.56650162
NE;NORDESTE;2022-01-07;51691.22656250;30846.40234375;59.67430115
N;NORTE;2022-01-07;15302.39648438;10913.32421875;71.31770325
SE;SUDESTE;2022-01-07;204560.84375000;61067.90625000;29.85320091
S;SUL;2022-01-07;19657.33007813;8150.24316406;41.46160126
NE;NORDESTE;2022-01-08;51691.22656250;31494.42773438;60.92800140
N;NORTE;2022-01-08;15302.39648438;11219.45312500;73.31829834
SE;SUDESTE;2022-01-08;204560.84375000;62650.05078125;30.62660027
S;SUL;2022-01-08;19657.33007813;8158.04589844;41.50130081
NE;NORDESTE;2022-01-09;51691.22656250;32145.25976563;62.18709946
N;NORTE;2022-01-09;15302.39648438;11470.23828125;74.95709991
SE;SUDESTE;2022-01-09;204560.84375000;64441.66015625;31.50239944
S;SUL;2022-01-09;19657.33007813;8144.29101563;41.43130112
NE;NORDESTE;2022-01-10;51691.22656250;32921.06640625;63.68790054
N;NORTE;2022-01-10;15302.39648438;11736.50000000;76.69709778
SE;SUDESTE;2022-01-10;204560.84375000;66238.98437500;32.38109970
S;SUL;2022-01-10;19657.33007813;8094.67675781;41.17890167
NE;NORDESTE;2022-01-11;51691.22656250;33744.07812500;65.28009796
N;NORTE;2022-01-11;15302.39648438;11991.34277344;78.36250305
SE;SUDESTE;2022-01-11;204560.84375000;68223.09375000;33.35100174
S;SUL;2022-01-11;19657.33007813;8030.87695313;40.85440063
NE;NORDESTE;2022-01-12;51691.22656250;34559.05468750;66.85669708
N;NORTE;2022-01-12;15302.39648438;12303.22460938;80.40059662
SE;SUDESTE;2022-01-12;204560.84375000;70162.75000000;34.29919815
S;SUL;2022-01-12;19657.33007813;7954.21582031;40.46440125
NE;NORDESTE;2022-01-13;51691.22656250;35399.82812500;68.48320007
N;NORTE;2022-01-13;15302.39648438;12522.97070313;81.83670044
SE;SUDESTE;2022-01-13;204560.84375000;71959.94531250;35.17779922
S;SUL;2022-01-13;19657.33007813;7867.69824219;40.02420044
NE;NORDESTE;2022-01-14;51691.22656250;36016.30468750;69.67590332
N;NORTE;2022-01-14;15302.39648438;12724.75195313;83.15529633
SE;SUDESTE;2022-01-14;204560.84375000;73497.38281250;35.92940140
S;SUL;2022-01-14;19657.33007813;7749.53515625;39.42309952
NE;NORDESTE;2022-01-15;51691.22656250;36631.09765625;70.86519623
N;NORTE;2022-01-15;15302.39648438;12850.90625000;83.97969818
SE;SUDESTE;2022-01-15;204560.84375000;74667.82031250;36.50149918
S;SUL;2022-01-15;19657.33007813;7711.95410156;39.23199844
NE;NORDESTE;2022-01-16;51691.22656250;36987.98437500;71.55560303
N;NORTE;2022-01-16;15302.39648438;12945.93066406;84.60070038
SE;SUDESTE;2022-01-16;204560.84375000;75896.70312500;37.10229874
S;SUL;2022-01-16;19657.33007813;7687.21777344;39.10609818
NE;NORDESTE;2022-01-17;51691.22656250;37281.45312500;72.12339783
N;NORTE;2022-01-17;15302.39648438;13039.98242188;85.21530151
SE;SUDESTE;2022-01-17;204560.84375000;76717.35156250;37.50339890
S;SUL;2022-01-17;19657.33007813;7613.33691406;38.73030090
NE;NORDESTE;2022-01-18;51691.22656250;37571.52343750;72.68450165
N;NORTE;2022-01-18;15302.39648438;13102.12109375;85.62139893
SE;SUDESTE;2022-01-18;204560.84375000;77580.67968750;37.92549896
S;SUL;2022-01-18;19657.33007813;7534.90283203;38.33129883
NE;NORDESTE;2022-01-19;51691.22656250;37852.15234375;73.22740173
N;NORTE;2022-01-19;15302.39648438;13152.09375000;85.94789886
SE;SUDESTE;2022-01-19;204560.84375000;78324.34375000;38.28900146
S;SUL;2022-01-19;19657.33007813;7485.46679688;38.07979965
NE;NORDESTE;2022-01-20;51691.22656250;37987.81640625;73.48989868
N;NORTE;2022-01-20;15302.39648438;13187.83203125;86.18150330
SE;SUDESTE;2022-01-20;204560.84375000;79007.56250000;38.62300110
S;SUL;2022-01-20;19657.33007813;7412.76220703;37.70989990
NE;NORDESTE;2022-01-21;51691.22656250;38036.53125000;73.58409882
N;NORTE;2022-01-21;15302.39648438;13220.70605469;86.39630127
SE;SUDESTE;2022-01-21;204560.84375000;79657.35156250;38.94070053
S;SUL;2022-01-21;19657.33007813;7302.91699219;37.15110016
NE;NORDESTE;2022-01-22;51691.22656250;38047.97656250;73.60630035
N;NORTE;2022-01-22;15302.39648438;13223.60742188;86.41529846
SE;SUDESTE;2022-01-22;204560.84375000;80298.51562500;39.25410080
S;SUL;2022-01-22;19657.33007813;7294.23486328;37.10689926
NE;NORDESTE;2022-01-23;51691.22656250;38079.17187500;73.66660309
N;NORTE;2022-01-23;15302.39648438;13225.55468750;86.42800140
SE;SUDESTE;2022-01-23;204560.84375000;81046.14062500;39.61959839
S;SUL;2022-01-23;19657.33007813;7280.44824219;37.03680038
NE;NORDESTE;2022-01-24;51691.22656250;38049.30859375;73.60880280
N;NORTE;2022-01-24;15302.39648438;13238.34863281;86.51159668
SE;SUDESTE;2022-01-24;204560.84375000;81441.25000000;39.81269836
S;SUL;2022-01-24;19657.33007813;7141.15820313;36.32820129
NE;NORDESTE;2022-01-25;51691.22656250;38021.59375000;73.55519867
N;NORTE;2022-01-25;15302.39648438;13214.76367188;86.35749817
SE;SUDESTE;2022-01-25;204560.84375000;81704.35937500;39.94129944
S;SUL;2022-01-25;19657.33007813;7010.91796875;35.66569901
NE;NORDESTE;2022-01-26;51691.22656250;38073.14453125;73.65489960
N;NORTE;2022-01-26;15302.39648438;13247.58886719;86.57199860
SE;SUDESTE;2022-01-26;204560.84375000;82067.54687500;40.11890030
S;SUL;2022-01-26;19657.33007813;6884.07324219;35.02040100
NE;NORDESTE;2022-01-27;51691.22656250;38074.55859375;73.65769958
N;NORTE;2022-01-27;15302.39648438;13287.90625000;86.83550262
