id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2019-01-01;51602.07031250;20452.17968750;39.63439941
N;NORTE;2019-01-01;15164.88671875;4171.72021484;27.50909996
SE;SUDESTE;2019-01-01;202691.93750000;56092.67578125;27.67390060
S;SUL;2019-01-01;19415.96093750;11587.93359375;59.68249893
NE;NORDESTE;2019-01-02;51602.07031250;20537.65039063;39.80009842
N;NORTE;2019-01-02;15164.88671875;4133.49414063;27.25699997
SE;SUDESTE;2019-01-02;202691.93750000;56489.87890625;27.86980057
S;SUL;2019-01-02;19415.96093750;11448.50976563;58.96440125
NE;NORDESTE;2019-01-03;51602.07031250;20610.15625000;39.94060135
N;NORTE;2019-01-03;15164.88671875;4069.87988281;26.83749962
SE;SUDESTE;2019-01-03;202691.93750000;56653.21484375;27.95039940
S;SUL;2019-01-03;19415.96093750;11247.95703125;57.93149948
NE;NORDESTE;2019-01-04;51602.07031250;20687.84960938;40.09109879
N;NORTE;2019-01-04;15164.88671875;3978.48803711;26.23489952
SE;SUDESTE;2019-01-04;202691.93750000;56822.55468750;28.03389931
S;SUL;2019-01-04;19415.96093750;11071.10253906;57.02059937
NE;NORDESTE;2019-01-05;51602.07031250;20938.25781250;40.57640076
N;NORTE;2019-01-05;15164.88671875;3993.40600586;26.33320045
SE;SUDESTE;2019-01-05;202691.93750000;57178.76562500;28.20969963
S;SUL;2019-01-05;19415.96093750;10999.07226563;56.64960098
NE;NORDESTE;2019-01-06;51602.07031250;20997.83203125;40.69179916
N;NORTE;2019-01-06;15164.88671875;4045.61791992;26.67749977
SE;SUDESTE;2019-01-06;202691.93750000;57631.52734375;28.43309975
S;SUL;2019-01-06;19415.96093750;10995.84960938;56.63299942
NE;NORDESTE;2019-01-07;51602.07031250;21028.42382813;40.75109863
N;NORTE;2019-01-07;15164.88671875;4066.26391602;26.81369972
SE;SUDESTE;2019-01-07;202691.93750000;57754.49218750;28.49370003
S;SUL;2019-01-07;19415.96093750;10857.17187500;55.91880035
NE;NORDESTE;2019-01-08;51602.07031250;21054.87109375;40.80239868
N;NORTE;2019-01-08;15164.88671875;4058.40405273;26.76180077
SE;SUDESTE;2019-01-08;202691.93750000;57849.89453125;28.54080009
S;SUL;2019-01-08;19415.96093750;10705.39257813;55.13710022
NE;NORDESTE;2019-01-09;51602.07031250;21078.32421875;40.84780121
N;NORTE;2019-01-09;15164.88671875;4043.46508789;26.66329956
SE;SUDESTE;2019-01-09;202691.93750000;57951.47265625;28.59090042
S;SUL;2019-01-09;19415.96093750;10578.60937500;54.48410034
NE;NORDESTE;2019-01-10;51602.07031250;21145.16406250;40.97740173
N;NORTE;2019-01-10;15164.88671875;4022.63989258;26.52599907
SE;SUDESTE;2019-01-10;202691.93750000;58069.87109375;28.64929962
S;SUL;2019-01-10;19415.96093750;10426.85644531;53.70249939
NE;NORDESTE;2019-01-11;51602.07031250;21195.90820313;41.07569885
N;NORTE;2019-01-11;15164.88671875;4035.31298828;26.60960007
SE;SUDESTE;2019-01-11;202691.93750000;58037.16796875;28.63319969
S;SUL;2019-01-11;19415.96093750;10301.83984375;53.05860138
NE;NORDESTE;2019-01-12;51602.07031250;21238.96875000;41.15909958
N;NORTE;2019-01-12;15164.88671875;4057.29907227;26.75460052
SE;SUDESTE;2019-01-12;202691.93750000;58192.87890625;28.70999908
S;SUL;2019-01-12;19415.96093750;10255.53125000;52.82009888
NE;NORDESTE;2019-01-13;51602.07031250;21254.85546875;41.18989944
N;NORTE;2019-01-13;15164.88671875;4093.67993164;26.99449921
SE;SUDESTE;2019-01-13;202691.93750000;58163.60156250;28.69560051
S;SUL;2019-01-13;19415.96093750;10289.13671875;52.99319839
NE;NORDESTE;2019-01-14;51602.07031250;21304.95312500;41.28699875
N;NORTE;2019-01-14;15164.88671875;4144.52197266;27.32970047
SE;SUDESTE;2019-01-14;202691.93750000;57812.48828125;28.52230072
S;SUL;2019-01-14;19415.96093750;10159.30175781;52.32450104
NE;NORDESTE;2019-01-15;51602.07031250;21353.68164063;41.38140106
N;NORTE;2019-01-15;15164.88671875;4202.94287109;27.71500015
SE;SUDESTE;2019-01-15;202691.93750000;57464.94140625;28.35090065
S;SUL;2019-01-15;19415.96093750;10040.76953125;51.71400070
NE;NORDESTE;2019-01-16;51602.07031250;21518.40039063;41.70069885
N;NORTE;2019-01-16;15164.88671875;4249.13476563;28.01959991
SE;SUDESTE;2019-01-16;202691.93750000;57135.46484375;28.18829918
S;SUL;2019-01-16;19415.96093750;9940.15917969;51.19580078
NE;NORDESTE;2019-01-17;51602.07031250;21637.02929688;41.93050003
N;NORTE;2019-01-17;15164.88671875;4287.52490234;28.27269936
SE;SUDESTE;2019-01-17;202691.93750000;56832.78515625;28.03899956
S;SUL;2019-01-17;19415.96093750;9841.16308594;50.68590164
