id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2021-01-01;52624.08203125;24099.34765625;45.79529953
N;NORTE;2021-01-01;15302.39648438;4376.65283203;28.60110092
SE;SUDESTE;2021-01-01;204560.84375000;38768.01562500;18.95179939
S;SUL;2021-01-01;19657.33007813;5541.21289063;28.18899918
NE;NORDESTE;2021-01-02;52624.08203125;24168.40820313;45.92649841
N;NORTE;2021-01-02;15302.39648438;4386.25781250;28.66390038
SE;SUDESTE;2021-01-02;204560.84375000;39199.99218750;19.16300011
S;SUL;2021-01-02;19657.33007813;5605.86181641;28.51790047
NE;NORDESTE;2021-01-03;52624.08203125;24323.43945313;46.22109985
N;NORTE;2021-01-03;15302.39648438;4467.29296875;29.19339943
SE;SUDESTE;2021-01-03;204560.84375000;39423.21093750;19.27210045
S;SUL;2021-01-03;19657.33007813;5663.72607422;28.81229973
NE;NORDESTE;2021-01-04;52624.08203125;24642.68359375;46.82780075
N;NORTE;2021-01-04;15302.39648438;4459.90283203;29.14509964
SE;SUDESTE;2021-01-04;204560.84375000;39936.64453125;19.52309990
S;SUL;2021-01-04;19657.33007813;5661.77978516;28.80240059
NE;NORDESTE;2021-01-05;52624.08203125;24784.60156250;47.09749985
N;NORTE;2021-01-05;15302.39648438;4487.59277344;29.32609940
SE;SUDESTE;2021-01-05;204560.84375000;40202.62500000;19.65309906
S;SUL;2021-01-05;19657.33007813;5654.25097656;28.76409912
NE;NORDESTE;2021-01-06;52624.08203125;24890.39453125;47.29850006
N;NORTE;2021-01-06;15302.39648438;4504.42382813;29.43610001
SE;SUDESTE;2021-01-06;204560.84375000;40267.09375000;19.68470001
S;SUL;2021-01-06;19657.33007813;5651.90087891;28.75209999
NE;NORDESTE;2021-01-07;52624.08203125;25134.97265625;47.76330185
N;NORTE;2021-01-07;15302.39648438;4503.52392578;29.43020058
SE;SUDESTE;2021-01-07;204560.84375000;40407.80859375;19.75340080
S;SUL;2021-01-07;19657.33007813;5599.70312500;28.48660088
NE;NORDESTE;2021-01-08;52624.08203125;25265.68554688;48.01160049
N;NORTE;2021-01-08;15302.39648438;4543.48876953;29.69140053
SE;SUDESTE;2021-01-08;204560.84375000;40561.55078125;19.82859993
S;SUL;2021-01-08;19657.33007813;5555.56103516;28.26199913
NE;NORDESTE;2021-01-09;52624.08203125;25429.99023438;48.32389832
N;NORTE;2021-01-09;15302.39648438;4488.32714844;29.33090019
SE;SUDESTE;2021-01-09;204560.84375000;40825.64453125;19.95770073
S;SUL;2021-01-09;19657.33007813;5506.76416016;28.01379967
NE;NORDESTE;2021-01-10;52624.08203125;25586.05078125;48.62039948
N;NORTE;2021-01-10;15302.39648438;4481.54199219;29.28650093
SE;SUDESTE;2021-01-10;204560.84375000;41044.66406250;20.06480026
S;SUL;2021-01-10;19657.33007813;5494.21777344;27.95000076
NE;NORDESTE;2021-01-11;52624.08203125;25689.88085938;48.81769943
N;NORTE;2021-01-11;15302.39648438;4454.69189453;29.11109924
SE;SUDESTE;2021-01-11;204560.84375000;41128.20703125;20.10560036
S;SUL;2021-01-11;19657.33007813;5426.80908203;27.60709953
NE;NORDESTE;2021-01-12;52624.08203125;25804.10742188;49.03480148
N;NORTE;2021-01-12;15302.39648438;4409.82421875;28.81789970
