id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2003-01-01;49967.00000000;9349.00000000;18.70999908
N;NORTE;2003-01-01;12311.00000000;1885.00000000;15.31000042
SE;SUDESTE;2003-01-01;177487.00000000;73741.00000000;41.54999924
S;SUL;2003-01-01;15375.00000000;14985.00000000;97.45999908
NE;NORDESTE;2003-01-02;49967.00000000;9453.00000000;18.92000008
N;NORTE;2003-01-02;12311.00000000;1922.00000000;15.60999966
SE;SUDESTE;2003-01-02;177487.00000000;74016.00000000;41.70000076
S;SUL;2003-01-02;15375.00000000;14922.00000000;97.05000305
NE;NORDESTE;2003-01-03;49967.00000000;9538.00000000;19.09000015
N;NORTE;2003-01-03;12311.00000000;1967.00000000;15.97999954
SE;SUDESTE;2003-01-03;177487.00000000;74428.00000000;41.93000031
S;SUL;2003-01-03;15375.00000000;14873.00000000;96.73000336
NE;NORDESTE;2003-01-04;49967.00000000;9699.00000000;19.40999985
N;NORTE;2003-01-04;12311.00000000;2023.00000000;16.43000031
SE;SUDESTE;2003-01-04;177487.00000000;75039.00000000;42.27999878
S;SUL;2003-01-04;15375.00000000;14870.00000000;96.70999908
NE;NORDESTE;2003-01-05;49967.00000000;9874.00000000;19.76000023
N;NORTE;2003-01-05;12311.00000000;2099.00000000;17.04999924
SE;SUDESTE;2003-01-05;177487.00000000;75857.00000000;42.74000168
S;SUL;2003-01-05;15375.00000000;14936.00000000;97.13999939
NE;NORDESTE;2003-01-06;49967.00000000;10042.00000000;20.10000038
N;NORTE;2003-01-06;12311.00000000;2167.00000000;17.60000038
SE;SUDESTE;2003-01-06;177487.00000000;76824.00000000;43.27999878
S;SUL;2003-01-06;15375.00000000;14889.00000000;96.83999634
NE;NORDESTE;2003-01-07;49967.00000000;10194.00000000;20.39999962
N;NORTE;2003-01-07;12311.00000000;2248.00000000;18.26000023
SE;SUDESTE;2003-01-07;177487.00000000;77687.00000000;43.77000046
S;SUL;2003-01-07;15375.00000000;14810.00000000;96.31999969
NE;NORDESTE;2003-01-08;49967.00000000;10363.00000000;20.73999977
N;NORTE;2003-01-08;12311.00000000;2319.00000000;18.84000015
SE;SUDESTE;2003-01-08;177487.00000000;78485.00000000;44.22000122
S;SUL;2003-01-08;15375.00000000;14729.00000000;95.80000305
NE;NORDESTE;2003-01-09;49967.00000000;10418.00000000;20.85000038
N;NORTE;2003-01-09;12311.00000000;2388.00000000;19.39999962
SE;SUDESTE;2003-01-09;177487.00000000;79103.00000000;44.56999969
S;SUL;2003-01-09;15375.00000000;14615.00000000;95.05999756
NE;NORDESTE;2003-01-10;49967.00000000;10586.00000000;21.19000053
N;NORTE;2003-01-10;12311.00000000;2445.00000000;19.86000061
SE;SUDESTE;2003-01-10;177487.00000000;79415.00000000;44.74000168
S;SUL;2003-01-10;15375.00000000;14558.00000000;94.68000031
NE;NORDESTE;2003-01-11;49967.00000000;10767.00000000;21.54999924
N;NORTE;2003-01-11;12311.00000000;2500.00000000;20.30999947
SE;SUDESTE;2003-01-11;177487.00000000;80070.00000000;45.11000061
S;SUL;2003-01-11;15375.00000000;14574.00000000;94.79000092
NE;NORDESTE;2003-01-12;49967.00000000;10965.00000000;21.94000053
N;NORTE;2003-01-12;12311.00000000;2548.00000000;20.70000076
SE;SUDESTE;2003-01-12;177487.00000000;80728.00000000;45.47999954
S;SUL;2003-01-12;15375.00000000;14625.00000000;95.12000275
NE;NORDESTE;2003-01-13;49967.00000000;11125.00000000;22.26000023
N;NORTE;2003-01-13;12311.00000000;2617.00000000;21.26000023
SE;SUDESTE;2003-01-13;177487.00000000;81570.00000000;45.95999908
S;SUL;2003-01-13;15375.00000000;14551.00000000;94.63999939
NE;NORDESTE;2003-01-14;49967.00000000;11379.00000000;22.77000046
N;NORTE;2003-01-14;12311.00000000;2642.00000000;21.45999908
SE;SUDESTE;2003-01-14;177487.00000000;82290.00000000;46.36000061
S;SUL;2003-01-14;15375.00000000;14483.00000000;94.19999695
NE;NORDESTE;2003-01-15;49967.00000000;11447.00000000;22.90999985
N;NORTE;2003-01-15;12311.00000000;2718.00000000;22.07999992
SE;SUDESTE;2003-01-15;177487.00000000;82867.00000000;46.68999863
S;SUL;2003-01-15;15375.00000000;14376.00000000;93.50000000
NE;NORDESTE;2003-01-16;49967.00000000;11592.00000000;23.20000076
N;NORTE;2003-01-16;12311.00000000;2774.00000000;22.53000069
SE;SUDESTE;2003-01-16;177487.00000000;83592.00000000;47.09999847
S;SUL;2003-01-16;15375.00000000;14268.00000000;92.80000305
NE;NORDESTE;2003-01-17;49967.00000000;11852.00000000;23.71999931
N;NORTE;2003-01-17;12311.00000000;2839.00000000;23.05999947
SE;SUDESTE;2003-01-17;177487.00000000;84706.00000000;47.72999954
S;SUL;2003-01-17;15375.00000000;14185.00000000;92.26000214
NE;NORDESTE;2003-01-18;49967.00000000;12214.00000000;24.44000053
N;NORTE;2003-01-18;12311.00000000;2889.00000000;23.46999931
SE;SUDESTE;2003-01-18;177487.00000000;86031.00000000;48.47000122
S;SUL;2003-01-18;15375.00000000;14132.00000000;91.91000366
NE;NORDESTE;2003-01-19;49967.00000000;12443.00000000;24.89999962
N;NORTE;2003-01-19;12311.00000000;2955.00000000;24.00000000
SE;SUDESTE;2003-01-19;177487.00000000;87209.00000000;49.13999939
S;SUL;2003-01-19;15375.00000000;14110.00000000;91.76999664
NE;NORDESTE;2003-01-20;49967.00000000;12767.00000000;25.54999924
N;NORTE;2003-01-20;12311.00000000;3006.00000000;24.42000008
SE;SUDESTE;2003-01-20;177487.00000000;88301.00000000;49.75000000
S;SUL;2003-01-20;15375.00000000;13984.00000000;90.94999695
NE;NORDESTE;2003-01-21;49967.00000000;13035.00000000;26.09000015
N;NORTE;2003-01-21;12311.00000000;3075.00000000;24.97999954
SE;SUDESTE;2003-01-21;177487.00000000;89569.00000000;50.47000122
S;SUL;2003-01-21;15375.00000000;13892.00000000;90.34999847
NE;NORDESTE;2003-01-22;49967.00000000;13362.00000000;26.73999977
N;NORTE;2003-01-22;12311.00000000;3173.00000000;25.77000046
SE;SUDESTE;2003-01-22;177487.00000000;90934.00000000;51.22999954
S;SUL;2003-01-22;15375.00000000;13762.00000000;89.51000214
NE;NORDESTE;2003-01-23;49967.00000000;13576.00000000;27.17000008
N;NORTE;2003-01-23;12311.00000000;3271.00000000;26.56999969
SE;SUDESTE;2003-01-23;177487.00000000;92210.00000000;51.95000076
S;SUL;2003-01-23;15375.00000000;13658.00000000;88.83000183
NE;NORDESTE;2003-01-24;49967.00000000;14041.00000000;28.10000038
N;NORTE;2003-01-24;12311.00000000;3370.00000000;27.37000084
SE;SUDESTE;2003-01-24;177487.00000000;93502.00000000;52.68000031
S;SUL;2003-01-24;15375.00000000;13565.00000000;88.23000336
NE;NORDESTE;2003-01-25;49967.00000000;14387.00000000;28.79000092
N;NORTE;2003-01-25;12311.00000000;3493.00000000;28.37000084
SE;SUDESTE;2003-01-25;177487.00000000;95001.00000000;53.52999878
S;SUL;2003-01-25;15375.00000000;13488.00000000;87.73000336
NE;NORDESTE;2003-01-26;49967.00000000;14753.00000000;29.53000069
N;NORTE;2003-01-26;12311.00000000;3627.00000000;29.45999908
SE;SUDESTE;2003-01-26;177487.00000000;96265.00000000;54.24000168
S;SUL;2003-01-26;15375.00000000;13478.00000000;87.66000366
NE;NORDESTE;2003-01-27;49967.00000000;15062.00000000;30.13999939
N;NORTE;2003-01-27;12311.00000000;3820.00000000;31.03000069
SE;SUDESTE;2003-01-27;177487.00000000;97439.00000000;54.90000153
S;SUL;2003-01-27;15375.00000000;13401.00000000;87.16000366
NE;NORDESTE;2003-01-28;49967.00000000;15435.00000000;30.88999939
N;NORTE;2003-01-28;12311.00000000;4010.00000000;32.56999969
SE;SUDESTE;2003-01-28;177487.00000000;99001.00000000;55.77999878
S;SUL;2003-01-28;15375.00000000;13354.00000000;86.84999847
NE;NORDESTE;2003-01-29;49967.00000000;15797.00000000;31.62000084
N;NORTE;2003-01-29;12311.00000000;4195.00000000;34.06999969
SE;SUDESTE;2003-01-29;177487.00000000;100653.00000000;56.70999908
S;SUL;2003-01-29;15375.00000000;13281.00000000;86.37999725
NE;NORDESTE;2003-01-30;49967.00000000;16185.00000000;32.38999939
N;NORTE;2003-01-30;12311.00000000;4374.00000000;35.52999878
SE;SUDESTE;2003-01-30;177487.00000000;102517.00000000;57.75999832
S;SUL;2003-01-30;15375.00000000;13199.00000000;85.84999847
NE;NORDESTE;2003-01-31;49967.00000000;16431.00000000;32.88000107
N;NORTE;2003-01-31;12311.00000000;4562.00000000;37.06000137
SE;SUDESTE;2003-01-31;177487.00000000;104370.00000000;58.79999924
S;SUL;2003-01-31;15375.00000000;13119.00000000;85.33000183
NE;NORDESTE;2003-02-01;49967.00000000;16833.00000000;33.68999863
N;NORTE;2003-02-01;12311.00000000;4755.00000000;38.61999893
SE;SUDESTE;2003-02-01;177487.00000000;105953.00000000;59.70000076
S;SUL;2003-02-01;15375.00000000;13100.00000000;85.19999695
NE;NORDESTE;2003-02-02;49967.00000000;17375.00000000;34.77000046
N;NORTE;2003-02-02;12311.00000000;4953.00000000;40.22999954
SE;SUDESTE;2003-02-02;177487.00000000;107320.00000000;60.47000122
S;SUL;2003-02-02;15375.00000000;13141.00000000;85.47000122
NE;NORDESTE;2003-02-03;49967.00000000;17795.00000000;35.61000061
N;NORTE;2003-02-03;12311.00000000;5139.00000000;41.74000168
SE;SUDESTE;2003-02-03;177487.00000000;108320.00000000;61.02999878
S;SUL;2003-02-03;15375.00000000;13078.00000000;85.05999756
NE;NORDESTE;2003-02-04;49967.00000000;18084.00000000;36.18999863
N;NORTE;2003-02-04;12311.00000000;5321.00000000;43.22000122
SE;SUDESTE;2003-02-04;177487.00000000;109199.00000000;61.52999878
S;SUL;2003-02-04;15375.00000000;13005.00000000;84.58000183
NE;NORDESTE;2003-02-05;49967.00000000;18366.00000000;36.75999832
N;NORTE;2003-02-05;12311.00000000;5488.00000000;44.58000183
SE;SUDESTE;2003-02-05;177487.00000000;110033.00000000;62.00000000
S;SUL;2003-02-05;15375.00000000;12955.00000000;84.26000214
NE;NORDESTE;2003-02-06;49967.00000000;18658.00000000;37.34000015
N;NORTE;2003-02-06;12311.00000000;5659.00000000;45.97000122
SE;SUDESTE;2003-02-06;177487.00000000;110827.00000000;62.43999863
S;SUL;2003-02-06;15375.00000000;12891.00000000;83.83999634
NE;NORDESTE;2003-02-07;49967.00000000;18878.00000000;37.77999878
N;NORTE;2003-02-07;12311.00000000;5841.00000000;47.43999863
