id_subsistema;nom_subsistema;ear_data;ear_max_subsistema;ear_verif_subsistema_mwmes;ear_verif_subsistema_percentual
NE;NORDESTE;2001-01-01;49967.00000000;18699.00000000;37.41999817
N;NORTE;2001-01-01;12311.00000000;9137.00000000;74.22000122
SE;SUDESTE;2001-01-01;159081.00000000;46315.00000000;29.11000061
S;SUL;2001-01-01;14176.00000000;12857.00000000;90.69000244
NE;NORDESTE;2001-01-02;49967.00000000;18851.00000000;37.72999954
N;NORTE;2001-01-02;12311.00000000;9327.00000000;75.76000214
SE;SUDESTE;2001-01-02;159081.00000000;46850.00000000;29.45000076
S;SUL;2001-01-02;14176.00000000;12920.00000000;91.13999939
NE;NORDESTE;2001-01-03;49967.00000000;19047.00000000;38.11999893
N;NORTE;2001-01-03;12311.00000000;9453.00000000;76.77999878
SE;SUDESTE;2001-01-03;159081.00000000;47466.00000000;29.84000015
S;SUL;2001-01-03;14176.00000000;12926.00000000;91.18000031
NE;NORDESTE;2001-01-04;49967.00000000;19275.00000000;38.58000183
N;NORTE;2001-01-04;12311.00000000;9569.00000000;77.73000336
SE;SUDESTE;2001-01-04;159081.00000000;47957.00000000;30.14999962
S;SUL;2001-01-04;14176.00000000;12924.00000000;91.16999817
NE;NORDESTE;2001-01-05;49967.00000000;19541.00000000;39.11000061
N;NORTE;2001-01-05;12311.00000000;9663.00000000;78.48999786
SE;SUDESTE;2001-01-05;159081.00000000;48264.00000000;30.34000015
S;SUL;2001-01-05;14176.00000000;12909.00000000;91.05999756
NE;NORDESTE;2001-01-06;49967.00000000;19777.00000000;39.58000183
N;NORTE;2001-01-06;12311.00000000;9750.00000000;79.19999695
SE;SUDESTE;2001-01-06;159081.00000000;48529.00000000;30.51000023
S;SUL;2001-01-06;14176.00000000;12884.00000000;90.87999725
NE;NORDESTE;2001-01-07;49967.00000000;19983.00000000;39.99000168
N;NORTE;2001-01-07;12311.00000000;9831.00000000;79.84999847
SE;SUDESTE;2001-01-07;159081.00000000;48867.00000000;30.71999931
S;SUL;2001-01-07;14176.00000000;12936.00000000;91.25000000
NE;NORDESTE;2001-01-08;49967.00000000;20130.00000000;40.29000092
N;NORTE;2001-01-08;12311.00000000;9917.00000000;80.55000305
SE;SUDESTE;2001-01-08;159081.00000000;48878.00000000;30.72999954
S;SUL;2001-01-08;14176.00000000;12906.00000000;91.04000092
NE;NORDESTE;2001-01-09;49967.00000000;20202.00000000;40.43000031
N;NORTE;2001-01-09;12311.00000000;10005.00000000;81.26999664
SE;SUDESTE;2001-01-09;159081.00000000;48895.00000000;30.73999977
S;SUL;2001-01-09;14176.00000000;12893.00000000;90.94999695
NE;NORDESTE;2001-01-10;49967.00000000;20239.00000000;40.50999832
N;NORTE;2001-01-10;12311.00000000;10089.00000000;81.94999695
SE;SUDESTE;2001-01-10;159081.00000000;49022.00000000;30.81999969
S;SUL;2001-01-10;14176.00000000;12864.00000000;90.73999786
NE;NORDESTE;2001-01-11;49967.00000000;20297.00000000;40.61999893
N;NORTE;2001-01-11;12311.00000000;10159.00000000;82.51999664
SE;SUDESTE;2001-01-11;159081.00000000;49136.00000000;30.88999939
S;SUL;2001-01-11;14176.00000000;12928.00000000;91.19999695
NE;NORDESTE;2001-01-12;49967.00000000;20236.00000000;40.50000000
N;NORTE;2001-01-12;12311.00000000;10255.00000000;83.30000305
SE;SUDESTE;2001-01-12;159081.00000000;49222.00000000;30.94000053
S;SUL;2001-01-12;14176.00000000;13024.00000000;91.87000275
NE;NORDESTE;2001-01-13;49967.00000000;20439.00000000;40.90999985
N;NORTE;2001-01-13;12311.00000000;10289.00000000;83.56999969
SE;SUDESTE;2001-01-13;159081.00000000;49556.00000000;31.14999962
S;SUL;2001-01-13;14176.00000000;13146.00000000;92.73000336
NE;NORDESTE;2001-01-14;49967.00000000;20615.00000000;41.25999832
N;NORTE;2001-01-14;12311.00000000;10310.00000000;83.73999786
SE;SUDESTE;2001-01-14;159081.00000000;49839.00000000;31.32999992
S;SUL;2001-01-14;14176.00000000;13302.00000000;93.83000183
NE;NORDESTE;2001-01-15;49967.00000000;20693.00000000;41.40999985
N;NORTE;2001-01-15;12311.00000000;10328.00000000;83.88999939
SE;SUDESTE;2001-01-15;159081.00000000;49815.00000000;31.30999947
S;SUL;2001-01-15;14176.00000000;13405.00000000;94.55999756
NE;NORDESTE;2001-01-16;49967.00000000;20744.00000000;41.52000046
N;NORTE;2001-01-16;12311.00000000;10329.00000000;83.90000153
SE;SUDESTE;2001-01-16;159081.00000000;49795.00000000;31.29999924
S;SUL;2001-01-16;14176.00000000;13457.00000000;94.93000031
NE;NORDESTE;2001-01-17;49967.00000000;20740.00000000;41.50999832
N;NORTE;2001-01-17;12311.00000000;10335.00000000;83.94999695
SE;SUDESTE;2001-01-17;159081.00000000;49639.00000000;31.20000076
S;SUL;2001-01-17;14176.00000000;13511.00000000;95.30999756
NE;NORDESTE;2001-01-18;49967.00000000;20725.00000000;41.47999954
N;NORTE;2001-01-18;12311.00000000;10327.00000000;83.87999725
SE;SUDESTE;2001-01-18;159081.00000000;49452.00000000;31.09000015
S;SUL;2001-01-18;14176.00000000;13540.00000000;95.51000214
NE;NORDESTE;2001-01-19;49967.00000000;20834.00000000;41.70000076
N;NORTE;2001-01-19;12311.00000000;10314.00000000;83.77999878
SE;SUDESTE;2001-01-19;159081.00000000;49210.00000000;30.93000031
S;SUL;2001-01-19;14176.00000000;13566.00000000;95.69999695
NE;NORDESTE;2001-01-20;49967.00000000;20879.00000000;41.79000092
N;NORTE;2001-01-20;12311.00000000;10324.00000000;83.86000061
SE;SUDESTE;2001-01-20;159081.00000000;49197.00000000;30.93000031
S;SUL;2001-01-20;14176.00000000;13601.00000000;95.94000244
NE;NORDESTE;2001-01-21;49967.00000000;20962.00000000;41.95000076
N;NORTE;2001-01-21;12311.00000000;10346.00000000;84.04000092
SE;SUDESTE;2001-01-21;159081.00000000;49131.00000000;30.87999916
S;SUL;2001-01-21;14176.00000000;13727.00000000;96.83000183
NE;NORDESTE;2001-01-22;49967.00000000;20968.00000000;41.95999908
N;NORTE;2001-01-22;12311.00000000;10360.00000000;84.15000153
SE;SUDESTE;2001-01-22;159081.00000000;49032.00000000;30.81999969
S;SUL;2001-01-22;14176.00000000;13761.00000000;97.06999969
NE;NORDESTE;2001-01-23;49967.00000000;20889.00000000;41.81000137
N;NORTE;2001-01-23;12311.00000000;10369.00000000;84.22000122
SE;SUDESTE;2001-01-23;159081.00000000;48961.00000000;30.78000069
S;SUL;2001-01-23;14176.00000000;13803.00000000;97.37000275
NE;NORDESTE;2001-01-24;49967.00000000;20766.00000000;41.56000137
N;NORTE;2001-01-24;12311.00000000;10365.00000000;84.19000244
SE;SUDESTE;2001-01-24;159081.00000000;49009.00000000;30.80999947
S;SUL;2001-01-24;14176.00000000;13857.00000000;97.75000000
NE;NORDESTE;2001-01-25;49967.00000000;20804.00000000;41.63999939
N;NORTE;2001-01-25;12311.00000000;10382.00000000;84.33000183
SE;SUDESTE;2001-01-25;159081.00000000;49200.00000000;30.93000031
S;SUL;2001-01-25;14176.00000000;13911.00000000;98.12999725
NE;NORDESTE;2001-01-26;49967.00000000;20777.00000000;41.58000183
N;NORTE;2001-01-26;12311.00000000;10396.00000000;84.44000244
SE;SUDESTE;2001-01-26;159081.00000000;49328.00000000;31.01000023
S;SUL;2001-01-26;14176.00000000;13924.00000000;98.22000122
NE;NORDESTE;2001-01-27;49967.00000000;20745.00000000;41.52000046
N;NORTE;2001-01-27;12311.00000000;10417.00000000;84.61000061
SE;SUDESTE;2001-01-27;159081.00000000;49457.00000000;31.09000015
S;SUL;2001-01-27;14176.00000000;13928.00000000;98.25000000
NE;NORDESTE;2001-01-28;49967.00000000;20785.00000000;41.59999847
N;NORTE;2001-01-28;12311.00000000;10459.00000000;84.94999695
SE;SUDESTE;2001-01-28;159081.00000000;49726.00000000;31.26000023
S;SUL;2001-01-28;14176.00000000;13933.00000000;98.27999878
NE;NORDESTE;2001-01-29;49967.00000000;20813.00000000;41.65000153
N;NORTE;2001-01-29;12311.00000000;10494.00000000;85.23999786
SE;SUDESTE;2001-01-29;159081.00000000;49883.00000000;31.36000061
S;SUL;2001-01-29;14176.00000000;13981.00000000;98.62000275
NE;NORDESTE;2001-01-30;49967.00000000;20686.00000000;41.40000153
N;NORTE;2001-01-30;12311.00000000;10539.00000000;85.59999847
SE;SUDESTE;2001-01-30;159081.00000000;50028.00000000;31.45000076
S;SUL;2001-01-30;14176.00000000;13959.00000000;98.47000122
NE;NORDESTE;2001-01-31;49967.00000000;20604.00000000;41.24000168
N;NORTE;2001-01-31;12311.00000000;10605.00000000;86.13999939
SE;SUDESTE;2001-01-31;159081.00000000;50205.00000000;31.55999947
S;SUL;2001-01-31;14176.00000000;13985.00000000;98.65000153
NE;NORDESTE;2001-02-01;49967.00000000;20657.00000000;41.34000015
N;NORTE;2001-02-01;12311.00000000;10687.00000000;86.80999756
SE;SUDESTE;2001-02-01;159081.00000000;50405.00000000;31.69000053
S;SUL;2001-02-01;14176.00000000;13986.00000000;98.66000366
NE;NORDESTE;2001-02-02;49967.00000000;20539.00000000;41.11000061
N;NORTE;2001-02-02;12311.00000000;10732.00000000;87.16999817
SE;SUDESTE;2001-02-02;159081.00000000;50479.00000000;31.72999954
S;SUL;2001-02-02;14176.00000000;13952.00000000;98.41999817
NE;NORDESTE;2001-02-03;49967.00000000;20619.00000000;41.27000046
N;NORTE;2001-02-03;12311.00000000;10765.00000000;87.44000244
SE;SUDESTE;2001-02-03;159081.00000000;50702.00000000;31.87000084
S;SUL;2001-02-03;14176.00000000;14011.00000000;98.83000183
NE;NORDESTE;2001-02-04;49967.00000000;20615.00000000;41.25999832
